count;dtBaro
1;673
2;682
3;670
4;664
5;666
6;676
7;671
8;672
9;671
10;664
11;671
12;666
13;664
14;670
15;667
16;667
17;668
18;668
19;665
20;680
21;668
22;667
23;692
24;665
25;667
26;668
27;669
28;669
29;665
30;671
31;668
32;664
33;664
34;669
35;666
36;703
37;670
38;664
39;664
40;669
41;675
42;677
43;674
44;668
45;664
46;665
47;676
48;664
49;665
50;677
51;665
52;672
53;666
54;666
55;667
56;665
57;668
58;667
59;669
60;683
61;681
62;673
63;700
64;673
65;665
66;688
67;681
68;682
69;670
70;668
71;671
72;665
73;685
74;680
75;666
76;687
77;689
78;666
79;671
80;668
81;674
82;663
83;688
84;678
85;665
86;682
87;676
88;670
89;688
90;707
91;664
92;671
93;688
94;667
95;667
96;688
97;678
98;663
99;681
100;671
101;665
102;665
103;716
104;684
105;666
106;688
107;680
108;673
109;667
110;680
111;685
112;668
113;682
114;644
115;666
116;682
117;711
118;664
119;749
120;683
121;677
122;687
123;620
124;667
125;682
126;675
127;666
128;687
129;690
130;676
131;689
132;676
133;634
134;663
135;686
136;679
137;663
138;639
139;692
140;664
141;687
142;683
143;670
144;671
145;668
146;644
147;665
148;666
149;694
150;674
151;671
152;693
153;665
154;666
155;683
156;675
157;665
158;689
159;678
160;689
161;666
162;749
163;688
164;680
165;677
166;684
167;691
168;690
169;728
170;675
171;674
172;730
173;721
174;676
175;700
176;739
177;681
178;692
179;702
180;701
181;712
182;696
183;710
184;710
185;703
186;738
187;756
188;754
189;717
190;683
191;735
192;710
193;746
194;717
195;717
196;761
197;747
198;685
199;731
200;679
201;703
202;729
203;677
204;710
205;720
206;758
207;775
208;715
209;694
210;683
211;732
212;754
213;721
214;765
215;681
216;695
217;720
218;747
219;788
220;694
221;747
222;678
223;707
224;712
225;676
226;762
227;704
228;705
229;743
230;729
231;744
232;732
233;735
234;718
235;691
236;704
237;729
238;690
239;711
240;683
241;708
242;670
243;684
244;753
245;706
246;753
247;713
248;751
249;705
250;722
251;706
252;722
253;683
254;720
255;750
256;681
257;717
258;680
259;688
260;683
261;713
262;737
263;695
264;722
265;717
266;682
267;661
268;748
269;719
270;711
271;679
272;683
273;728
274;727
275;712
276;702
277;693
278;679
279;684
280;680
281;725
282;686
283;730
284;696
285;753
286;716
287;683
288;685
289;676
290;778
291;677
292;710
293;721
294;692
295;674
296;787
297;690
298;685
299;723
300;758
301;816
302;717
303;713
304;668
305;712
306;719
307;672
308;767
309;697
310;689
311;711
312;753
313;679
314;672
315;676
316;701
317;672
318;678
319;726
320;672
321;758
322;701
323;679
324;704
325;756
326;695
327;667
328;668
329;719
330;671
331;684
332;720
333;681
334;767
335;706
336;702
337;685
338;739
339;688
340;667
341;669
342;708
343;669
344;707
345;677
346;670
347;780
348;712
349;685
350;688
351;715
352;693
353;668
354;679
355;706
356;674
357;734
358;744
359;762
360;812
361;672
362;717
363;728
364;720
365;677
366;737
367;673
368;675
369;708
370;684
371;685
372;765
373;702
374;679
375;706
376;733
377;719
378;679
379;677
380;727
381;679
382;685
383;738
384;693
385;741
386;756
387;751
388;677
389;674
390;754
391;682
392;680
393;679
394;709
395;770
396;698
397;703
398;713
399;696
400;723
401;680
402;679
403;696
404;676
405;681
406;677
407;711
408;744
409;700
410;704
411;750
412;703
413;703
414;679
415;699
416;706
417;681
418;711
419;705
420;744
421;705
422;716
423;677
424;764
425;728
426;689
427;677
428;764
429;737
430;680
431;676
432;708
433;729
434;733
435;681
436;679
437;730
438;685
439;676
440;674
441;729
442;693
443;672
444;697
445;696
446;691
447;721
448;675
449;695
450;720
451;685
452;674
453;681
454;733
455;707
456;675
457;682
458;692
459;691
460;715
461;681
462;712
463;710
464;704
465;717
466;684
467;693
468;678
469;702
470;728
471;682
472;692
473;687
474;680
475;721
476;711
477;701
478;681
479;707
480;734
481;683
482;723
483;793
484;714
485;684
486;725
487;700
488;698
489;692
490;726
491;692
492;713
493;678
494;688
495;748
496;727
497;704
498;711
499;726
500;680
501;719
502;743
503;743
504;698
505;687
506;681
507;693
508;744
509;698
510;687
511;714
512;705
513;795
514;691
515;680
516;732
517;717
518;723
519;680
520;744
521;698
522;677
523;693
524;727
525;678
526;713
527;731
528;706
529;701
530;732
531;724
532;709
533;720
534;697
535;681
536;690
537;702
538;677
539;685
540;692
541;677
542;696
543;693
544;701
545;677
546;692
547;706
548;676
549;698
550;675
551;674
552;736
553;718
554;685
555;708
556;692
557;699
558;681
559;696
560;713
561;673
562;720
563;678
564;675
565;722
566;695
567;673
568;700
569;700
570;700
571;674
572;685
573;701
574;675
575;700
576;672
577;676
578;690
579;717
580;678
581;690
582;697
583;721
584;675
585;674
586;698
587;677
588;699
589;679
590;676
591;727
592;745
593;689
594;689
595;702
596;718
597;674
598;684
599;707
600;677
601;701
602;682
603;676
604;746
605;688
606;687
607;700
608;693
609;708
610;671
611;682
