count;dtBaro
1;2925
2;3216
3;3275
4;3032
5;3135
6;3279
7;3277
8;3133
9;3277
10;3094
11;3279
12;3275
13;3094
14;3277
15;3276
16;3095
17;3493
18;3277
19;3033
20;3185
21;3278
22;3093
23;3277
24;3276
25;3094
26;3278
27;3278
28;3095
29;3276
30;3276
31;3094
32;3274
33;3379
34;3093
35;3219
36;3280
37;3094
38;3278
39;3307
40;3096
41;3183
42;3276
43;3094
44;3276
45;3278
46;3094
47;3278
48;3277
49;3096
50;3246
51;3276
52;3094
53;3307
54;3276
55;3093
56;3307
57;3275
58;3095
59;3246
60;3276
61;3093
62;3307
63;3276
64;3094
65;3307
66;3278
67;3094
68;3247
69;3277
70;3092
71;3306
72;3278
73;4973
74;3339
75;3310
76;3341
77;3311
78;3364
79;3279
80;3312
81;3281
82;3280
83;3313
84;3312
85;3342
86;3310
87;3311
88;3280
89;3310
90;3280
91;3310
92;3279
93;3280
94;3185
95;3312
96;3313
97;3132
98;3279
99;3312
100;3317
101;3280
102;3280
103;3313
104;3279
105;3310
106;3281
107;3280
108;3310
109;3280
110;3310
111;3280
112;3279
113;3279
114;3310
115;3312
116;3278
117;3340
118;3311
119;3313
120;3065
121;3279
122;3278
123;3026
124;3311
125;3312
126;3250
127;3279
128;3311
129;3219
130;3311
131;3311
132;3310
133;3280
134;3279
135;3279
136;3310
137;3280
138;3338
139;3311
140;3311
141;3281
142;3279
143;3309
144;3340
145;3281
146;3309
147;3143
148;3280
149;3310
150;3312
151;3310
152;3312
153;3283
154;3312
155;3189
156;3278
157;3279
158;3341
159;3313
160;3309
161;3278
162;3279
163;3352
164;3281
165;3312
166;3311
167;3249
168;3369
169;3278
170;3215
171;3276
172;3277
173;3245
174;3278
175;3276
176;3217
177;3523
178;3126
179;3064
180;3278
181;3124
182;3246
183;3277
184;3125
185;3249
186;3309
187;3185
188;3186
189;3277
190;3125
191;3247
192;3279
193;3127
194;2911
195;3278
196;3276
197;3185
198;3278
199;3277
200;3247
201;3277
202;3277
203;3247
204;3277
205;3123
206;3248
207;3278
208;3125
209;3011
210;3279
211;3276
212;3218
213;3369
214;3275
215;3034
216;3080
217;3309
218;3215
219;3278
220;3277
221;3124
222;3311
223;3278
224;3247
225;3278
226;3123
227;3247
228;3277
229;3124
230;3126
231;3280
232;3278
233;3094
234;3277
235;3277
236;2926
237;3271
238;3277
239;3186
240;3277
241;3277
242;3310
243;3277
244;3276
245;3217
246;3279
247;3277
248;3064
249;3277
250;3124
251;3186
252;3280
253;3141
254;2880
255;3278
256;3277
257;3063
258;3366
259;3277
260;3185
261;3278
262;3280
263;2912
264;3279
265;3279
266;3125
267;3277
268;3277
269;3156
270;3295
271;3335
272;3187
273;3276
274;3277
275;3216
276;3278
277;3276
278;2943
279;3195
280;3277
281;2893
282;3246
283;3278
284;3066
285;3279
286;3277
287;3186
288;3278
289;3276
290;3002
291;3278
292;3278
293;3186
294;3277
295;3278
296;3063
297;3279
298;3277
299;3124
300;3279
301;3277
302;2863
303;3333
304;3276
305;3252
306;3278
307;3278
308;3124
309;3278
310;3277
311;2833
312;3278
313;3276
314;2796
315;3248
316;3277
317;3095
318;3278
319;3277
320;3096
321;3278
322;3277
323;3095
324;3277
325;3277
326;2941
327;3196
328;3276
329;3066
330;3279
331;3279
332;2990
333;3267
334;3280
335;3047
336;3206
337;3277
338;3033
339;3248
340;3278
341;3033
342;3309
343;3781
344;2975
345;3282
346;3279
347;3033
348;3309
349;3279
350;3280
351;3282
352;3310
353;3250
354;3282
355;3310
356;3250
357;3312
358;3279
359;3279
360;3279
361;3312
362;3263
363;3308
364;3308
365;3064
366;3278
367;3278
368;3004
369;3278
370;3308
371;3340
372;3277
373;3279
374;3280
375;3307
376;3278
377;2942
378;3279
379;3310
380;3249
381;3278
382;3279
383;3034
384;3278
385;3277
386;3309
387;3249
388;3279
389;3216
390;3309
391;3279
392;3217
393;3359
394;3277
395;3157
396;3308
397;3277
398;3249
399;3279
400;3278
401;3278
402;3277
403;3278
404;3247
405;3278
406;3279
407;3278
408;3278
409;3277
410;3248
411;3309
412;3308
413;3342
414;3279
415;3278
416;3146
417;3279
418;3264
419;3249
420;3278
421;3253
422;3159
423;3278
424;3257
425;3167
426;3307
427;3208
428;3145
429;3308
430;3256
431;3157
432;3277
433;3313
434;3249
435;3278
436;3280
437;3279
438;3356
439;3206
440;3271
441;3310
442;3096
443;3280
444;3279
445;3249
446;3280
447;3310
448;3281
449;3279
450;3280
451;3343
452;3311
453;3280
454;3281
455;3279
456;3310
457;3187
458;3280
459;3311
460;3341
461;3280
462;3281
463;3249
464;3279
465;3280
466;3004
467;3279
468;3279
469;2974
470;3279
471;3280
472;3218
473;3278
474;3279
475;3279
476;3279
477;3280
478;3279
479;3278
480;3279
481;3279
482;3281
483;3301
484;3279
485;3311
486;3310
487;3280
488;3310
489;3310
490;3249
491;3280
492;3310
493;3341
494;3280
495;3280
496;3254
497;3281
498;3269
499;3269
500;3310
501;3251
502;3257
503;3279
504;3341
505;3281
506;3312
507;3250
508;3279
509;3309
510;3097
511;3227
512;3279
513;3286
514;3278
515;3277
516;3154
517;3278
518;3278
519;3094
520;3277
521;3277
522;3002
523;3080
524;3278
525;3188
526;3277
527;3278
528;3116
529;3182
530;3275
531;3035
532;3278
533;3277
534;3004
535;3277
536;3278
537;3067
538;3280
539;3277
540;3127
541;3280
542;3279
543;3065
544;3279
545;3278
546;2991
547;3269
548;3277
549;3127
550;3131
551;3278
552;3277
553;3135
554;3310
555;3035
556;3308
557;3277
558;3095
559;3277
560;3276
561;3094
562;3246
563;3279
564;3033
565;3309
566;3275
567;3096
568;3308
569;3275
570;3033
571;3306
572;3279
573;3052
574;3276
575;3307
576;3034
577;3277
578;3310
579;3064
580;3279
581;3278
582;2849
583;3277
584;3278
585;3184
586;3278
587;3277
588;2943
589;3247
590;3276
591;3033
592;3278
593;3277
594;3127
595;3276
596;3278
597;3125
598;3277
599;3278
600;3093
601;3278
602;3277
603;3097
604;3278
605;3277
606;3125
607;3277
608;3277
609;3276
610;3276
611;3279
612;2880
613;3354
614;3276
615;3033
616;3278
617;3277
618;3425
619;3277
620;3094
621;3246
622;3277
623;3095
624;3184
625;3276
626;3120
627;3216
628;3276
629;3094
630;3276
631;3311
632;3093
633;3219
634;3277
635;2942
636;3245
637;3278
638;3126
639;3163
640;3277
641;3124
642;3247
643;3278
644;3125
645;3246
646;3279
647;3124
648;3247
649;3277
650;3123
651;3246
652;3277
653;3124
654;3216
655;3278
656;3126
657;3278
658;3277
659;3124
660;3278
661;3277
662;3126
663;3407
664;3309
665;3124
666;3187
667;3305
668;3123
669;3186
670;3276
671;3124
672;3311
673;3278
674;3121
675;3216
676;3276
677;3277
678;3245
679;3277
680;3126
681;3249
682;3280
683;3277
684;3195
685;3276
686;3124
687;3217
688;3279
689;3128
690;3186
691;3280
692;3125
693;3218
694;3277
695;3032
696;3277
697;3278
698;3125
699;3243
700;3277
701;3123
702;3278
703;3353
704;3093
705;3248
706;3308
707;3278
708;3232
709;3309
710;3123
711;3167
712;3279
713;3124
714;3309
715;3277
716;3124
717;3248
718;3276
719;3125
720;3219
721;3279
722;3125
723;3250
724;3278
725;3124
726;3217
727;3277
728;3280
729;3163
730;3278
731;3124
732;3279
733;3278
734;3125
735;3247
736;3278
737;3123
738;3246
739;3279
740;3124
741;3277
742;3279
743;3124
744;3218
745;3278
746;3276
747;3217
748;3279
749;3125
750;3199
751;3279
752;3124
753;3375
754;3277
755;3062
756;3277
757;3278
758;3124
759;3246
760;3279
761;3126
762;3280
763;3277
764;3124
765;3277
766;3279
767;3278
768;3164
769;3279
770;3125
771;3217
772;3277
773;3125
774;3247
775;3274
776;3185
777;3249
778;3278
779;3125
780;3277
781;3278
782;3127
783;3250
784;3278
785;3125
786;3277
787;3278
788;3124
789;3216
790;3277
791;3124
792;3218
793;3599
794;3258
795;3248
796;3279
797;3279
798;3321
799;3278
800;3094
801;3216
802;3277
803;3093
804;3310
805;3277
806;3094
807;3247
808;3277
809;3094
810;3249
811;3276
812;3096
813;3246
814;3277
815;2942
816;3246
817;3275
818;3124
819;3246
820;3277
821;3126
822;3246
823;3277
824;3125
825;3248
826;3277
827;3125
828;3277
829;3277
830;3277
831;3196
832;3280
833;3126
834;3279
835;3277
836;3124
837;3249
838;3279
839;3125
840;3247
841;3279
842;3125
843;3346
844;3278
845;3093
846;3248
847;3279
848;3127
849;3218
850;3278
851;3124
852;3247
853;3277
854;3125
855;3248
856;3280
857;3125
858;3308
859;3277
860;3123
861;3249
862;3278
863;3124
864;3248
865;3278
866;3124
867;3309
868;3277
869;3123
870;3246
871;3278
872;3125
873;3247
874;3278
875;3092
876;3187
877;3277
878;3124
879;3215
880;3278
881;3124
882;3246
883;4297
884;3033
885;3148
886;3276
887;3094
888;3312
889;3279
890;3032
891;3247
892;3276
893;3093
894;3310
895;3276
896;3094
897;3246
898;3307
899;3033
900;3246
901;3277
902;3095
903;3185
904;3277
905;3094
906;3215
907;3309
908;3095
909;3277
910;3276
911;3094
912;3246
913;3278
914;3094
915;3277
916;3309
917;3093
918;3307
919;3279
920;3091
921;3168
922;3279
923;3008
924;3216
925;3276
926;3093
927;3246
928;3277
929;3096
930;3246
931;3277
932;3095
933;3377
934;3277
935;2940
936;3278
937;3279
938;3095
939;3433
940;3276
941;3095
942;3247
943;3279
944;3094
945;3278
946;3274
947;3277
948;3184
949;3276
950;3094
951;3247
952;3279
953;3094
954;3248
955;3276
956;3095
957;3245
958;3277
959;3095
960;3341
961;3278
962;3095
963;3276
964;3278
965;3093
966;3310
967;3277
968;3093
969;3245
970;3278
971;3093
972;3308
973;6161
974;3237
975;3308
976;3124
977;3218
978;3376
979;3124
980;3216
981;3276
982;3125
983;3216
984;3279
985;3125
986;3217
987;3279
988;3261
989;3215
990;3276
991;3124
992;3099
993;3247
994;3260
995;2881
996;3278
997;3123
998;2956
999;3211
1000;3307
1001;3186
1002;3277
1003;3279
1004;3279
1005;3277
1006;3277
1007;2910
1008;3279
1009;3277
1010;2880
1011;3276
1012;3277
1013;3126
1014;3279
1015;3277
1016;2849
1017;3308
1018;3278
1019;2893
1020;3274
1021;3277
1022;2930
1023;5415
1024;3261
1025;3277
1026;3278
1027;3277
1028;3178
1029;3275
1030;3034
1031;3196
1032;3277
1033;3097
1034;3188
1035;3276
1036;3094
1037;3245
1038;3280
1039;3094
1040;3276
1041;3277
1042;3095
1043;3308
1044;3278
1045;3096
1046;3277
1047;3278
1048;3095
1049;3277
1050;3278
1051;3094
1052;3277
1053;3277
1054;3095
1055;3004
1056;3224
1057;3125
1058;3248
1059;3278
1060;3125
1061;3245
1062;3278
1063;4651
1064;3253
1065;3278
1066;3033
1067;3279
1068;3376
1069;2966
1070;3906
1071;3278
1072;2870
1073;3237
1074;3277
1075;3003
1076;3276
1077;3277
1078;2954
1079;3184
1080;3278
1081;3249
1082;3279
1083;3277
1084;3034
1085;3276
1086;3277
1087;2949
1088;3190
1089;3276
1090;3033
1091;3271
1092;3308
1093;3033
1094;3161
1095;3307
1096;3031
1097;3124
1098;3277
1099;3094
1100;3247
1101;3277
1102;3094
1103;3276
1104;3277
1105;3095
1106;3307
1107;3278
1108;3094
1109;3277
1110;3277
1111;3095
1112;3278
1113;5421
1114;2819
1115;3252
1116;3277
1117;3093
1118;3278
1119;3277
1120;3094
1121;3307
1122;3461
1123;3200
1124;3276
1125;3277
1126;2910
1127;3278
1128;3278
1129;2911
1130;3276
1131;3278
1132;3061
1133;3276
1134;3278
1135;2828
1136;3275
1137;3277
1138;3003
1139;3279
1140;3277
1141;3157
1142;3278
1143;3278
1144;2916
1145;3189
1146;3277
1147;2940
1148;3197
1149;3277
1150;2989
1151;3271
1152;3277
1153;5794
1154;3269
1155;3124
1156;3308
1157;3277
1158;3173
1159;3267
1160;3277
1161;3094
1162;3302
1163;3278
1164;3094
1165;3339
1166;3278
1167;3093
1168;3307
1169;3277
1170;3308
1171;3184
1172;3277
1173;3097
1174;3278
1175;3309
1176;3093
1177;3278
1178;3278
1179;3247
1180;3182
1181;3278
1182;3094
1183;3276
1184;3276
1185;3095
1186;3277
1187;3276
1188;3094
1189;3276
1190;3338
1191;3091
1192;3277
1193;3279
1194;3093
1195;3279
1196;3279
1197;3095
1198;3277
1199;3277
1200;3094
1201;3307
1202;3277
1203;4840
1204;3277
1205;3276
1206;2810
1207;3277
1208;3308
1209;3094
1210;3276
1211;3278
1212;3002
1213;3278
1214;3277
1215;2962
1216;3266
1217;3276
1218;3017
1219;3182
1220;3276
1221;2948
1222;3221
1223;3277
1224;3159
1225;3281
1226;3277
1227;3279
1228;3280
1229;3276
1230;2971
1231;3248
1232;3307
1233;3011
1234;3187
1235;3277
1236;3138
1237;3153
1238;3277
1239;3032
1240;3249
1241;3277
1242;3094
1243;4909
1244;3305
1245;2971
1246;3277
1247;3279
1248;3100
1249;3279
1250;3278
1251;2974
1252;3277
1253;3277
1254;3155
1255;3277
1256;3276
1257;3033
1258;3276
1259;3277
1260;3126
1261;3276
1262;3277
1263;3155
1264;3277
1265;3278
1266;2942
1267;3278
1268;3277
1269;3187
1270;3277
1271;3277
1272;2893
1273;3276
1274;3277
1275;3034
1276;3246
1277;3279
1278;2986
1279;3245
1280;3277
1281;2938
1282;3199
1283;3277
1284;3245
1285;3200
1286;3278
1287;3217
1288;3280
1289;3276
1290;2961
1291;3208
1292;3277
1293;3162
1294;3185
1295;3281
1296;3077
1297;3183
1298;3278
1299;3265
1300;3278
1301;3276
1302;3074
1303;3123
1304;3276
1305;3030
1306;3309
1307;3309
1308;3034
1309;3277
1310;3277
1311;3095
1312;3277
1313;3277
1314;3094
1315;3246
1316;3277
1317;3033
1318;3307
1319;3309
1320;3094
1321;3339
1322;3277
1323;3034
1324;3308
1325;3276
1326;3093
1327;3309
1328;3277
1329;3093
1330;3308
1331;3279
1332;3033
1333;6925
1334;3262
1335;3147
1336;3277
1337;3279
1338;3959
1339;3251
1340;3004
1341;3278
1342;3279
1343;2953
1344;3186
1345;3278
1346;3126
1347;3280
1348;3279
1349;3067
1350;3248
1351;3275
1352;2990
1353;3301
1354;3276
1355;3004
1356;3266
1357;3277
1358;3033
1359;3183
1360;3277
1361;3093
1362;3308
1363;3276
1364;3093
1365;3308
1366;3277
1367;3094
1368;3279
1369;3277
1370;3095
1371;3309
1372;3277
1373;3095
1374;3276
1375;3276
1376;3186
1377;3195
1378;3278
1379;3096
1380;3247
1381;3306
1382;3032
1383;3228
1384;3276
1385;3096
1386;3277
1387;3277
1388;3094
1389;3187
1390;3277
1391;3095
1392;3276
1393;3277
1394;3095
1395;3277
1396;3278
1397;3094
1398;3276
1399;3280
1400;2972
1401;3339
1402;3278
1403;3309
1404;3187
1405;3276
1406;3095
1407;3277
1408;3278
1409;3094
1410;3247
1411;3278
1412;3095
1413;3277
1414;3279
1415;3066
1416;3308
1417;3278
1418;3096
1419;3309
1420;3277
1421;3095
1422;3309
1423;5612
1424;2910
1425;3194
1426;3278
1427;2862
1428;3167
1429;3278
1430;3218
1431;3278
1432;3308
1433;2833
1434;3272
1435;3279
1436;2954
1437;3151
1438;3276
1439;2944
1440;3192
1441;3275
1442;3028
1443;3201
1444;3340
1445;3069
1446;3129
1447;3276
1448;3094
1449;3340
1450;3278
1451;3032
1452;3308
1453;3276
1454;3199
1455;3178
1456;3276
1457;3094
1458;3307
1459;3278
1460;3034
1461;3277
1462;3277
1463;2935
1464;3185
1465;3277
1466;3094
1467;3277
1468;3279
1469;3095
1470;3278
1471;3276
1472;3095
1473;3318
1474;3278
1475;3033
1476;3256
1477;3278
1478;3096
1479;3308
1480;3276
1481;3095
1482;3246
1483;3278
1484;3093
1485;3307
1486;3279
1487;3126
1488;3277
1489;3277
1490;3096
1491;3307
1492;3276
1493;3094
1494;3557
1495;3278
1496;3093
1497;3308
1498;3277
1499;3094
1500;3341
1501;3276
1502;3155
1503;3338
1504;3277
1505;3093
1506;3278
1507;3278
1508;3034
1509;3246
1510;3278
1511;3095
1512;3278
1513;6908
1514;3258
1515;3278
1516;3082
1517;3149
1518;3289
1519;3033
1520;3303
1521;3278
1522;3035
1523;3164
1524;3277
1525;3096
1526;3185
1527;3277
1528;3093
1529;3276
1530;3277
1531;3094
1532;3278
1533;3276
1534;3095
1535;3217
1536;3279
1537;3093
