count;dtBaro
1;42884
2;42884
3;42765
4;42765
5;42765
6;2196
7;2196
8;2196
9;2196
10;1426
11;1426
12;1426
13;1426
14;1772
15;1772
16;1772
17;1772
18;8031
19;8031
20;8031
21;8031
22;1501
23;1501
24;1501
25;1501
26;1282
27;1282
28;1282
29;1282
30;1282
31;1292
32;1292
33;1292
34;1833
35;1833
36;1833
37;1833
38;1415
39;1415
40;1415
41;1415
42;1415
43;1846
44;1846
45;1846
46;1846
47;1667
48;1667
49;1667
50;1667
51;1597
52;1597
53;1597
54;1597
55;1597
56;1486
57;1486
58;1486
59;1486
60;1262
61;1262
62;1262
63;1262
64;1556
65;1556
66;1556
67;1556
68;4874
69;4874
70;4874
71;4874
72;1354
73;1354
74;1354
75;1354
76;1487
77;1487
78;1487
79;1487
80;1487
81;1401
82;1401
83;1401
84;1401
85;1717
86;1717
87;1717
88;1717
89;1717
90;1708
91;1708
92;1708
93;1708
94;1307
95;1307
96;1307
97;1307
98;1412
99;1412
100;1412
101;1412
102;1412
103;2127
104;2127
105;2127
106;2127
107;1350
108;1350
109;1350
110;1350
111;1350
112;1765
113;1765
114;1765
115;1765
116;1575
117;1575
118;1575
119;1575
120;1277
121;1277
122;1277
123;1277
124;1277
125;1713
126;1713
127;1713
128;1713
129;1280
130;1280
131;1280
132;21784
133;21784
134;21784
135;21784
136;1727
137;1727
138;1727
139;1727
140;1267
141;1267
142;1267
143;1267
144;1267
145;1814
146;1814
147;1814
148;1814
149;1499
150;1499
151;1499
152;1499
153;1499
154;2120
155;2120
156;2120
157;2120
158;1477
159;1477
160;1477
161;1477
162;1551
163;1551
164;1551
165;1551
166;1551
167;1939
168;1939
169;1939
170;1939
171;1233
172;1233
173;1233
174;1233
175;1233
176;1744
177;1744
178;1744
179;1744
180;1407
181;1407
182;1407
183;1407
184;1862
185;1862
186;1862
187;1862
188;1862
189;1184
190;1184
191;1184
192;1184
193;1879
194;1879
195;1879
196;1879
197;1879
198;1367
199;1367
200;1367
201;1367
202;1886
203;1886
204;1886
205;1886
206;1804
207;1804
208;1804
209;1804
210;1804
211;1717
212;1717
213;1717
214;1717
215;1977
216;1977
217;1977
218;1977
219;1977
220;1275
221;1275
222;1275
223;1275
224;1444
225;1444
226;1444
227;1444
228;1402
229;1402
230;1402
231;1402
232;1402
233;1597
234;1597
235;1597
236;1597
237;1313
238;1313
239;1313
240;1313
241;1313
242;2464
243;2464
244;2464
245;2464
246;1358
247;1358
248;1358
249;1358
250;1892
251;1892
252;1892
253;1892
254;1892
255;1458
256;1458
257;1458
258;1401
259;1401
260;1401
261;1401
262;1401
263;1187
264;1187
265;1187
266;1187
267;1901
268;1901
269;1901
270;1901
271;1901
272;1372
273;1372
274;1372
275;1372
276;2176
277;2176
278;2176
279;2176
280;1228
281;1228
282;1228
283;1228
284;1228
285;2247
286;2247
287;2247
288;2247
289;1705
290;1705
291;1705
292;1705
293;1705
294;1396
295;1396
296;1396
297;1396
298;2038
299;2038
300;2038
301;2038
302;1430
303;1430
304;1430
305;1430
306;1430
307;1616
308;1616
309;1616
310;1616
311;1487
312;1487
313;1487
314;1487
315;1487
316;1788
317;1788
318;1788
319;1788
320;1361
321;1361
322;1361
323;1361
324;1595
325;1595
326;1595
327;1595
328;1595
329;2006
330;2006
331;2006
332;2006
333;1362
334;1362
335;1362
336;1362
337;1362
338;1617
339;1617
340;1617
341;1617
342;1464
