count;dtTot
1;1531
2;1467
3;1452
4;1480
5;1482
6;1451
7;1514
8;1473
9;1454
10;1446
11;1477
12;1450
13;1512
14;1473
15;1477
16;1454
17;1456
18;1454
19;1691
20;1669
21;1650
22;1727
23;1737
24;1717
25;1739
26;1735
27;1738
28;1731
29;1760
30;1750
31;1759
32;1742
33;1737
34;1805
35;1743
36;1744
37;1766
38;1741
39;1742
40;1737
41;1746
42;1783
43;1741
44;1773
45;1743
46;1737
47;1737
48;1747
49;1748
50;1736
51;1738
52;1748
53;1781
54;1798
55;1750
56;1747
57;1743
58;1749
59;1748
60;1748
61;1740
62;1744
63;1745
64;1833
65;1823
66;1820
67;1820
68;1819
69;1821
70;1823
71;1823
72;1819
73;1828
74;1825
75;1836
76;1817
77;1823
78;1858
79;1817
80;1817
81;1818
82;1859
83;1815
84;1816
85;1841
86;1820
87;1841
88;1828
89;1826
90;1834
91;1917
92;1954
93;1916
94;1928
95;1918
96;1925
97;1946
98;1926
99;1917
100;1929
101;1942
102;1903
103;1908
104;1914
105;1916
106;1981
107;1958
108;1958
109;1949
110;1977
111;1913
112;1910
113;1918
114;1916
115;1920
116;1645
117;1604
118;1679
119;1849
120;1596
121;1617
122;1679
123;1632
124;1643
125;1602
126;1632
127;1634
128;1675
129;1670
130;1704
131;1621
132;1636
133;1670
134;1702
135;1630
136;1606
137;1637
138;1514
139;1632
140;1557
141;1624
142;1863
143;1599
144;1598
145;1585
146;1505
147;1621
148;1483
149;1514
150;1467
151;1667
152;1567
153;1568
154;1598
155;1653
156;1642
157;1750
158;1757
159;1627
160;1590
161;1535
162;1501
163;1510
164;1507
165;1499
166;1484
167;1444
168;1440
169;1583
170;1454
171;1467
172;1594
173;1431
174;1481
175;1447
176;1460
177;1464
178;1544
179;1468
180;1419
181;1470
182;1459
183;1478
184;1446
185;1443
186;1440
187;1525
188;1470
189;1502
190;1483
191;1477
192;1446
193;1455
194;1450
195;1424
196;1498
197;1445
198;1464
199;1456
200;1479
201;1458
202;1524
203;1551
204;1461
205;1458
206;1488
207;1438
208;1433
209;1499
210;1649
211;1564
212;1508
213;1487
214;1468
215;1540
216;1493
217;1440
218;1489
219;1502
220;1467
221;1444
222;1464
223;1462
224;1453
225;1489
226;1470
227;1516
228;1501
229;1494
230;1472
231;1515
232;1474
233;1474
234;1453
235;1491
236;1466
237;1502
238;1479
239;1440
240;1485
241;1479
242;1449
243;1519
244;1467
245;1491
246;1532
247;1460
248;1485
249;1562
250;1488
251;1502
252;1447
253;1485
254;1580
255;1467
256;1475
257;2482
258;1501
259;1518
260;1441
261;1557
262;1472
263;1512
264;1455
265;1504
266;1441
267;1492
268;1501
269;1471
270;1481
271;1478
272;1510
273;1485
274;1474
275;1503
276;1499
277;1675
278;1440
279;1468
280;1513
281;1443
282;1509
283;1455
284;1454
285;1488
286;1554
287;1468
288;1478
289;1478
290;1664
291;1468
292;1497
293;1434
294;1434
295;1510
296;1445
297;1439
298;1508
299;1569
300;1494
301;1495
302;1502
303;1687
304;1439
305;1459
306;1460
307;1481
308;1430
309;1543
310;1496
311;1494
312;1520
313;1521
314;1460
315;1462
316;1490
317;1480
318;1452
319;1472
320;1511
321;1432
322;1439
323;1489
324;1448
325;1523
326;1434
327;1530
328;1462
329;1472
330;1502
331;1501
332;1650
333;1640
334;1659
335;1644
336;1656
337;1690
338;1682
339;1661
340;1661
341;1564
342;1685
343;1684
344;1653
345;1672
346;1634
347;1630
348;1734
349;1693
350;1662
351;1758
352;1670
353;1710
354;1724
355;1670
356;1688
357;1669
358;1653
359;1686
360;1689
361;1643
362;1520
363;1661
364;1678
365;1762
366;1637
367;1626
368;1685
369;1692
370;1666
371;1638
372;1524
373;1724
374;1764
375;1635
376;1687
377;1627
378;1681
379;1619
380;1649
381;1681
382;1651
383;1647
384;1697
385;1659
386;1705
387;1659
388;1654
389;1671
390;1642
391;1676
392;1690
393;1630
394;1626
395;1723
396;1733
397;1697
398;1646
399;1545
400;1699
401;1677
402;1554
403;1634
404;1641
405;1860
406;2077
407;1834
408;1826
409;1855
410;1856
411;1869
412;1860
413;1855
414;1860
415;1855
416;1884
417;1863
418;1856
419;1853
420;1858
421;1862
422;1857
423;1850
424;1853
425;1889
426;1860
427;1858
428;1862
429;1863
430;1872
431;1866
432;1863
433;1872
434;1867
435;1865
436;1876
437;1862
438;1856
439;1861
440;1856
441;1859
442;1883
443;1862
444;1858
445;1859
446;1862
447;1865
448;1862
449;1861
450;1852
451;1863
452;1875
453;1863
454;1860
455;1864
456;1884
457;1856
458;1855
459;1857
460;1857
461;2221
462;1875
463;1868
464;1886
465;1913
466;1875
467;1867
468;1872
469;1862
470;1928
471;1852
472;3228
473;1883
474;1871
475;1870
476;1861
477;1871
478;1867
479;1866
480;1876
481;1865
482;1870
483;1863
484;1867
485;1871
486;1872
487;1863
488;1919
489;1871
490;1869
491;1860
492;1899
493;1877
494;1866
495;1860
496;1859
497;1925
498;1853
