count;dtLed
1;3
2;2
3;2
4;3
5;5
6;3
7;3
8;2
9;1
10;2
11;1
12;2
13;1
14;3
15;3
16;3
17;2
18;1
19;2
20;2
21;2
22;2
23;2
24;2
25;1
26;3
27;3
28;3
29;2
30;2
31;2
32;2
33;2
34;2
35;1
36;1
37;1
38;3
39;3
40;2
41;2
42;1
43;2
44;2
45;1
46;2
47;3
48;1
49;4
50;4
51;3
52;1
53;1
54;2
55;2
56;3
57;1
58;1
59;1
60;2
61;5
62;2
63;1
64;2
65;2
66;2
67;1
68;3
69;1
70;1
71;3
72;4
73;2
74;3
75;3
76;3
77;2
78;2
79;2
80;1
81;1
82;2
83;3
84;4
85;2
86;1
87;2
88;2
89;2
90;2
91;1
92;2
93;2
94;3
95;3
96;1
97;1
98;1
99;1
100;1
101;2
102;2
103;2
104;1
105;3
106;3
107;2
108;1
109;3
110;2
111;1
112;1
113;2
114;1
115;2
116;3
117;3
118;2
119;2
120;1
121;3
122;2
123;2
124;1
125;2
126;2
127;3
128;3
129;3
130;2
131;2
132;2
133;2
134;2
135;1
136;3
137;1
138;1
139;3
140;3
141;1
142;2
143;2
144;3
145;1
146;4
147;1
148;1
149;2
150;3
151;3
152;4
153;2
154;2
155;2
156;3
157;2
158;3
159;2
160;2
161;3
162;3
163;2
164;2
165;2
166;2
167;1
168;2
169;2
170;1
171;2
172;2
173;3
174;2
175;2
176;1
177;2
178;1
179;1
180;3
181;3
182;2
183;3
184;2
185;3
186;2
187;2
188;5
189;2
190;2
191;4
192;2
193;2
194;2
195;3
196;3
197;1
198;2
199;2
200;2
201;1
202;2
203;2
204;2
205;1
206;4
207;3
208;2
209;2
210;3
211;2
212;2
213;2
214;1
215;2
216;2
217;4
218;4
219;2
220;2
221;1
222;2
223;2
224;2
225;2
226;2
227;2
228;2
229;2
230;4
231;2
232;1
233;1
234;2
235;1
236;2
237;1
238;1
239;2
240;4
241;3
242;3
243;2
244;1
245;1
246;2
247;2
248;2
249;1
250;1
251;3
252;3
253;3
254;1
255;1
256;2
257;1
258;2
259;2
260;2
261;1
262;3
263;3
264;2
265;3
266;3
267;1
268;2
269;1
270;2
271;2
272;1
273;4
274;5
275;1
276;2
277;1
278;2
279;2
280;1
281;1
282;1
283;1
284;3
285;4
286;5
287;2
288;2
289;2
290;2
291;2
292;1
293;2
294;2
295;1
296;3
297;5
298;3
299;2
300;1
301;2
302;2
303;1
304;1
305;2
306;1
307;3
308;4
309;2
310;2
311;2
312;4
313;2
314;2
315;2
316;2
317;2
318;3
319;4
320;2
321;2
322;2
323;1
324;2
325;2
326;2
327;2
328;2
329;2
330;3
331;3
332;2
333;1
334;3
335;2
336;2
337;2
338;1
339;1
340;1
341;4
342;6
343;2
344;1
345;2
346;3
347;1
348;1
349;1
350;1
351;1
352;3
353;4
354;2
355;2
356;2
357;2
358;3
359;1
360;1
361;3
362;2
363;3
364;3
365;2
366;2
367;1
368;2
369;1
370;1
371;2
372;1
373;1
374;4
375;3
376;3
377;3
378;1
379;1
380;2
381;2
382;2
383;1
384;1
385;4
386;4
387;4
388;2
389;1
390;2
391;2
392;1
393;2
394;3
395;1
396;1
397;3
398;4
399;2
400;1
401;2
402;2
403;2
404;2
405;1
406;2
407;1
408;3
409;3
410;2
411;4
412;2
413;2
414;3
415;2
416;2
417;3
418;1
419;3
420;3
421;2
422;2
423;2
424;1
425;2
426;2
427;2
428;1
429;1
430;2
431;3
432;3
433;2
434;4
435;1
436;2
437;3
438;1
439;2
440;2
441;1
442;2
443;4
444;2
445;2
446;2
447;2
448;3
449;2
450;2
451;1
452;1
453;3
454;3
455;2
456;2
457;3
458;1
459;2
460;2
461;2
462;2
463;2
464;3
465;4
466;3
467;2
468;2
469;2
470;2
471;2
472;3
473;2
474;1
475;2
476;2
477;3
478;3
479;1
480;2
481;1
482;2
483;2
484;1
485;2
486;3
487;3
488;5
489;2
490;1
491;1
492;2
493;2
494;1
495;1
496;1
497;2
498;4
499;3
500;2
501;1
502;1
503;2
504;1
