count;dtLSM
1;897
2;821
3;823
4;820
5;822
6;816
7;817
8;825
9;819
10;820
11;818
12;817
13;818
14;821
15;820
16;817
17;819
18;820
19;819
20;817
21;816
22;816
23;818
24;817
25;818
26;818
27;818
28;817
29;818
30;817
31;819
32;817
33;817
34;820
35;819
36;819
37;818
38;819
39;817
40;818
41;818
42;814
43;819
44;818
45;820
46;818
47;817
48;818
49;820
50;817
51;821
52;819
53;819
54;820
55;817
56;817
57;818
58;817
59;818
60;817
61;819
62;817
63;816
64;817
65;819
66;818
67;817
68;817
69;818
70;817
71;817
72;817
73;818
74;818
75;818
76;833
77;818
78;818
79;817
80;817
81;816
82;821
83;818
84;817
85;817
86;816
87;819
88;822
89;817
90;819
91;817
92;818
93;817
94;815
95;817
96;816
97;818
98;817
99;817
100;818
101;816
102;819
103;817
104;819
105;820
106;817
107;817
108;815
109;818
110;812
111;818
112;816
113;817
114;819
115;817
116;817
117;819
118;818
119;817
120;816
121;820
122;831
123;818
124;818
125;817
126;818
127;820
128;817
129;817
130;818
131;818
132;818
133;818
134;817
135;818
136;817
137;817
138;820
139;817
140;817
141;818
142;817
143;818
144;830
145;817
146;818
147;818
148;818
149;816
150;818
151;818
152;816
153;817
154;816
155;818
156;820
157;817
158;818
159;817
160;817
161;796
162;817
163;817
164;818
165;819
166;817
167;818
168;818
169;818
170;818
171;817
172;818
173;821
174;818
175;816
176;817
177;818
178;818
179;817
180;817
181;816
182;818
183;817
184;817
185;817
186;816
187;818
188;816
189;820
190;817
191;816
192;818
193;817
194;817
195;817
196;817
197;818
198;819
199;818
200;816
201;818
202;817
203;818
204;819
205;817
206;817
207;837
208;817
209;817
210;818
211;817
212;817
213;817
214;818
215;817
216;818
217;816
218;817
219;817
220;816
221;817
222;819
223;819
224;819
225;817
226;819
227;816
228;817
229;817
230;819
231;819
232;816
233;816
234;817
235;818
236;817
237;816
238;818
239;817
240;817
241;819
242;818
243;816
244;818
245;818
246;816
247;822
248;817
249;820
250;817
251;817
252;817
253;819
254;818
255;817
256;816
257;819
258;822
259;816
260;818
261;819
262;818
263;818
264;819
265;817
266;816
267;818
268;816
269;820
270;817
271;817
272;817
273;817
274;818
275;825
276;823
277;817
278;816
279;824
280;997
281;947
282;817
283;818
284;818
285;815
286;816
287;820
288;817
289;818
290;816
291;818
292;790
293;816
294;819
295;1028
296;947
297;818
298;817
299;816
300;817
301;817
302;816
303;818
304;817
305;816
306;818
307;817
308;819
309;781
310;1046
311;945
312;817
313;817
314;817
315;817
316;817
317;817
318;817
319;817
320;817
321;816
322;816
323;818
324;816
325;1022
326;946
327;816
328;816
329;817
330;816
331;850
332;817
333;818
334;817
335;817
336;817
337;817
338;817
339;825
340;1034
341;956
342;817
343;816
344;817
345;817
346;817
347;817
348;816
349;815
350;817
351;817
352;818
353;826
354;816
355;1038
356;946
357;817
358;816
359;818
360;817
361;817
362;818
363;817
364;818
365;818
366;817
367;819
368;818
369;818
370;1032
371;944
372;817
373;817
374;818
375;820
376;825
377;818
378;817
379;819
380;815
381;818
382;819
383;818
384;826
385;995
386;945
387;816
388;817
389;823
390;818
391;819
392;817
393;816
394;817
395;817
396;820
397;818
398;822
399;820
400;1049
401;947
402;817
403;818
404;817
405;818
406;817
407;816
408;817
409;819
410;817
411;817
412;817
413;817
414;816
415;1047
416;954
417;815
418;818
419;802
420;817
421;818
422;815
423;818
424;816
425;817
426;818
427;816
428;818
429;817
430;1048
431;975
432;818
433;819
434;817
435;818
436;846
437;817
438;817
439;818
440;816
441;816
442;816
443;818
444;818
445;1020
446;945
447;818
448;819
449;817
450;818
451;815
452;816
453;819
454;816
455;818
456;819
457;816
458;837
459;817
460;1014
461;945
462;817
463;817
464;817
465;817
466;816
467;817
468;816
469;817
470;819
471;816
472;818
473;817
474;819
475;1058
476;947
477;819
478;816
479;817
480;803
481;817
482;817
483;816
484;818
485;818
486;820
487;818
488;817
489;824
490;998
491;954
492;817
493;818
494;817
495;816
496;816
497;781
498;818
499;817
500;817
501;818
502;815
503;819
504;823
505;1044
506;947
507;818
508;818
509;816
510;815
511;816
512;816
513;820
514;819
515;818
516;820
517;816
518;819
519;818
520;1022
521;943
522;816
523;818
524;817
525;818
526;817
527;817
528;818
529;816
530;818
531;823
532;816
533;820
534;817
535;1025
536;944
537;816
538;817
539;817
540;815
541;817
542;818
543;821
544;816
545;817
546;817
547;817
548;818
549;819
550;1029
551;942
552;817
553;839
554;817
555;818
556;817
557;818
558;818
559;816
560;822
561;816
562;815
563;817
564;818
565;1014
566;945
567;816
568;816
569;817
570;824
571;819
572;821
573;818
574;817
575;847
576;824
577;820
578;818
579;820
580;1013
581;946
582;818
583;814
584;819
585;816
586;818
587;820
588;817
589;819
590;816
591;817
592;820
593;817
594;819
595;1011
596;945
597;821
598;816
599;826
600;819
601;818
602;817
603;819
604;818
605;816
606;819
607;820
608;818
609;820
610;1037
611;945
612;817
613;817
614;819
615;819
616;817
617;818
618;818
619;829
620;818
621;822
622;817
623;777
624;816
625;834
626;1047
627;855
628;818
629;817
630;817
631;817
632;821
633;818
634;817
635;833
636;831
637;818
638;818
639;817
640;825
641;1002
642;951
643;818
644;816
645;818
646;816
647;817
648;819
649;818
650;818
651;817
652;831
653;820
654;817
655;821
656;1043
657;953
658;818
659;818
660;819
661;817
662;819
663;817
664;828
665;818
666;817
667;818
668;816
669;817
670;818
671;1047
672;1058
673;889
674;827
675;822
676;818
677;817
678;815
679;818
680;819
681;832
682;818
683;819
684;819
685;818
686;1031
687;948
688;822
689;817
690;816
691;817
692;818
693;816
694;816
695;817
696;817
697;831
698;781
699;820
700;817
701;839
702;1048
703;848
704;816
705;817
706;818
707;818
708;817
709;816
710;825
711;817
712;815
713;816
714;819
715;817
716;826
717;999
718;950
719;827
720;816
721;817
722;816
723;819
724;816
725;817
726;818
727;816
728;816
729;816
730;819
731;818
732;845
733;940
734;941
735;818
736;837
737;816
738;821
739;816
740;816
741;816
742;816
743;819
744;816
745;817
746;818
747;819
748;1049
749;949
750;817
751;816
752;816
753;818
754;816
755;817
756;826
757;817
758;840
759;816
760;818
761;816
762;819
763;845
764;942
765;953
766;817
767;817
768;816
769;817
770;820
771;818
772;817
773;793
774;817
775;817
776;817
777;819
778;815
779;837
780;1053
781;845
782;815
783;817
