count;dtMPU
1;461
2;476
3;563
4;483
5;599
6;486
7;563
8;493
9;562
10;484
11;489
12;488
13;598
14;478
15;521
16;483
17;489
18;492
19;515
20;594
21;486
22;521
23;517
24;1630
25;560
26;511
27;533
28;572
29;509
30;483
31;573
32;499
33;512
34;477
35;500
36;604
37;487
38;607
39;514
40;477
41;498
42;563
43;488
44;580
45;478
46;566
47;477
48;545
49;486
50;564
51;486
52;516
53;477
54;523
55;447
56;452
57;480
58;514
59;459
60;526
61;446
62;447
63;482
64;453
65;453
66;490
67;459
68;480
69;458
70;465
71;477
72;447
73;453
74;491
75;460
76;487
77;446
78;457
79;523
80;454
81;459
82;520
83;458
84;577
85;460
86;487
87;446
88;481
89;463
90;459
91;463
92;518
93;446
94;447
95;446
96;453
97;489
98;458
99;480
100;460
101;446
102;492
103;444
104;477
105;459
106;452
107;460
108;461
109;463
110;568
111;455
112;522
113;446
114;458
115;573
116;458
117;470
118;465
119;464
120;470
121;451
122;453
123;497
124;461
125;445
126;470
127;447
128;453
129;528
130;451
131;490
132;490
133;465
134;575
135;619
136;459
137;451
138;477
139;446
140;459
141;480
142;458
143;462
144;470
145;453
146;444
147;529
148;458
149;449
150;459
151;446
152;465
153;540
154;458
155;574
156;460
157;486
158;446
159;445
160;530
161;459
162;460
163;516
164;453
165;491
166;452
167;469
168;445
169;447
170;524
171;452
172;461
173;452
174;458
175;599
176;447
177;469
178;445
179;452
180;528
181;453
182;452
183;462
184;464
185;547
186;446
187;470
188;452
189;451
190;476
191;458
192;464
193;494
194;446
195;447
196;506
197;445
198;476
199;449
200;448
201;479
202;461
203;458
204;470
205;446
206;449
207;528
208;459
209;469
210;562
211;461
212;446
213;457
214;486
215;525
216;455
217;476
218;446
219;466
220;500
221;456
222;446
223;470
224;453
225;452
226;476
227;458
228;464
229;489
230;447
231;475
232;439
233;457
234;523
235;446
236;454
237;446
238;452
239;451
240;460
241;449
242;459
243;575
244;465
245;522
246;445
247;452
248;460
249;452
250;460
251;465
252;458
253;456
254;508
255;445
256;470
257;454
258;480
259;460
260;461
261;477
262;543
263;445
264;524
265;445
266;453
267;490
268;463
269;460
270;463
271;470
272;446
273;451
274;453
275;455
276;529
277;458
278;540
279;459
280;470
281;445
282;452
283;529
284;452
285;460
286;491
287;462
288;546
289;445
290;470
291;451
292;452
293;551
294;457
295;446
296;470
297;445
298;453
299;530
300;451
301;460
302;462
303;466
304;574
305;447
306;471
307;452
308;453
309;490
310;458
311;494
312;447
313;466
314;525
315;453
316;444
317;520
318;456
319;610
320;459
321;470
322;447
323;454
324;523
325;453
326;451
327;531
328;459
329;575
330;457
331;488
332;448
333;453
334;529
335;453
336;460
337;490
338;463
339;456
340;445
341;445
342;458
343;458
344;454
345;524
346;454
347;523
348;455
349;460
350;461
351;445
352;479
353;446
354;447
355;504
356;453
357;461
358;459
359;480
360;459
361;463
362;471
363;448
364;445
365;625
366;445
367;523
368;445
369;459
370;575
371;459
372;469
373;445
374;453
375;523
376;452
377;461
378;490
379;460
380;457
381;459
382;502
383;521
384;453
385;454
386;661
387;480
388;463
389;459
390;506
391;453
392;452
393;477
394;451
395;451
396;452
397;461
398;463
399;578
400;447
401;535
402;453
403;453
404;490
405;458
406;470
407;457
408;457
409;470
410;452
411;445
412;473
413;458
414;490
415;572
416;451
417;528
418;446
419;452
420;538
421;459
422;494
423;459
424;446
425;468
426;445
427;453
428;546
429;492
430;453
431;476
432;523
433;447
434;489
435;444
436;446
437;521
438;444
439;468
440;445
441;444
442;469
443;444
444;444
445;469
446;445
447;444
448;469
449;445
450;446
451;468
452;447
453;444
454;469
455;445
456;444
457;468
458;445
459;444
460;468
461;445
462;445
463;510
464;445
465;445
466;470
467;445
468;445
469;471
470;445
471;445
472;470
473;445
474;445
475;470
476;445
477;482
478;470
479;446
480;444
481;470
482;445
483;445
484;469
485;446
486;445
487;470
488;447
489;446
490;469
491;445
492;443
493;469
494;446
495;446
496;469
497;445
498;444
499;470
500;445
501;445
502;490
503;445
504;444
505;495
506;444
507;445
