count;dtMPU
1;487
2;466
3;464
4;462
5;465
6;464
7;463
8;463
9;461
10;460
11;462
12;462
13;460
14;464
15;461
16;462
17;463
18;462
19;466
20;464
21;463
22;462
23;462
24;462
25;461
26;461
27;462
28;463
29;462
30;463
31;461
32;462
33;524
34;466
35;461
36;462
37;463
38;463
39;462
40;462
41;463
42;462
43;464
44;461
45;463
46;462
47;463
48;559
49;521
50;469
51;462
52;464
53;462
54;463
55;462
56;474
57;462
58;461
59;463
60;463
61;461
62;464
63;569
64;465
65;463
66;472
67;464
68;462
69;462
70;463
71;462
72;462
73;462
74;462
75;461
76;462
77;463
78;559
79;464
80;476
81;463
82;461
83;463
84;473
85;464
86;477
87;462
88;475
89;463
90;474
91;464
92;463
93;525
94;516
95;464
96;462
97;464
98;464
99;463
100;461
101;463
102;462
103;475
104;463
105;463
106;463
107;464
108;580
109;464
110;462
111;462
112;463
113;462
114;462
115;462
116;462
117;462
118;462
119;463
120;462
121;462
122;568
123;509
124;465
125;461
126;476
127;471
128;463
129;462
130;467
131;462
132;463
133;483
134;462
135;463
136;463
137;563
138;465
139;463
140;461
141;463
142;463
143;463
144;462
145;461
146;464
147;472
148;462
149;473
150;463
151;461
152;517
153;539
154;472
155;470
156;475
157;463
158;461
159;462
160;463
161;464
162;461
163;462
164;463
165;462
166;553
167;560
168;528
169;474
170;462
171;462
172;463
173;463
174;462
175;463
176;461
177;463
178;475
179;464
180;462
181;503
182;571
183;464
184;462
185;463
186;463
187;466
188;462
189;500
190;464
191;463
192;477
193;463
194;469
195;462
196;572
197;567
198;620
199;472
200;463
201;462
202;476
203;462
204;509
205;474
206;464
207;494
208;462
209;476
210;462
211;463
212;563
213;465
214;476
215;464
216;463
217;462
218;462
219;462
220;464
221;460
222;461
223;462
224;465
225;461
226;567
227;499
228;464
229;475
230;463
231;464
232;461
233;462
234;464
235;464
236;463
237;463
238;461
239;463
240;463
241;563
242;491
243;467
244;464
245;462
246;463
247;463
248;462
249;462
250;463
251;463
252;464
253;463
254;482
255;465
256;468
257;464
258;465
259;461
260;462
261;462
262;461
263;478
264;463
265;462
266;463
267;461
268;463
269;463
270;566
271;514
272;478
273;462
274;462
275;462
276;461
277;463
278;462
279;463
280;486
281;463
282;476
283;463
284;463
285;570
286;511
287;464
288;475
289;464
290;474
291;474
292;463
293;470
294;464
295;473
296;489
297;474
298;462
299;462
300;463
301;512
302;525
303;463
304;461
305;461
306;463
307;463
308;463
309;462
310;486
311;461
312;464
313;461
314;463
315;462
316;558
317;494
318;463
319;462
320;462
321;461
322;461
323;464
324;462
325;462
326;474
327;462
328;490
329;462
330;465
331;462
332;564
333;465
334;463
335;463
336;463
337;460
338;464
339;471
340;460
341;462
342;463
343;464
344;475
345;463
346;475
347;561
348;534
349;462
350;477
351;461
352;462
353;463
354;463
355;461
356;463
357;462
358;475
359;463
360;463
361;464
362;492
363;516
364;463
365;462
366;486
367;463
368;476
369;461
370;482
371;462
372;463
373;460
374;475
375;489
376;465
377;560
378;557
379;519
380;473
381;462
382;463
383;464
384;462
385;462
386;462
387;462
388;461
389;464
390;462
391;462
392;473
393;556
394;564
395;521
396;462
397;463
398;461
399;463
400;462
401;463
