count;dtLSM
1;778
2;1009
3;793
4;903
5;783
6;780
7;1004
8;777
9;1006
10;787
11;778
12;791
13;780
14;906
15;779
16;779
17;973
18;779
19;906
20;779
21;780
22;1023
23;778
24;922
25;1005
26;779
27;1000
28;785
29;922
30;791
31;779
32;1004
33;779
34;828
35;803
36;779
37;890
38;779
39;907
40;784
41;941
42;950
43;817
44;996
45;781
46;905
47;798
48;779
49;788
50;780
51;920
52;779
53;825
54;984
55;781
56;998
57;799
58;920
59;783
60;779
61;984
62;778
63;939
64;782
65;778
66;946
67;778
68;828
69;800
70;778
71;889
72;779
73;905
74;1006
75;781
76;888
77;779
78;905
79;979
80;779
81;888
82;778
83;920
84;780
85;780
86;949
87;780
88;779
89;786
90;778
91;919
92;781
93;778
94;782
95;779
96;924
97;780
98;842
99;940
100;778
101;1025
102;745
103;888
104;778
105;842
106;794
107;779
108;938
109;781
110;1009
111;781
112;921
113;785
114;779
115;975
116;782
117;829
118;765
119;778
120;1014
121;779
122;782
123;1003
124;780
125;779
126;1019
127;779
128;779
129;1005
130;778
131;896
132;1007
133;779
134;897
135;1003
136;778
137;895
138;1005
139;778
140;895
141;1003
142;780
143;894
144;1002
145;782
146;899
147;778
148;779
149;897
150;780
151;778
152;1004
153;778
154;898
155;1004
156;779
157;898
158;781
159;779
160;912
161;779
162;778
163;896
164;778
165;780
166;1009
167;779
168;781
169;1006
170;779
171;779
172;1004
173;779
174;779
175;1006
176;779
177;899
178;1005
179;752
180;897
181;1007
182;780
183;898
184;1006
185;778
186;895
187;1011
188;778
189;883
190;1004
191;779
192;882
193;778
194;778
195;895
196;780
197;795
198;896
199;791
200;781
201;1005
202;778
203;782
204;1004
205;781
206;827
207;812
208;780
209;895
210;780
211;779
212;1003
213;781
214;900
215;818
216;780
217;1008
218;780
219;897
220;1004
221;787
222;898
223;1005
224;780
225;911
226;779
227;779
228;899
229;780
230;779
231;898
232;779
233;779
234;1006
235;780
236;778
237;974
238;778
239;779
240;1005
241;779
242;778
243;1006
244;778
245;897
246;1004
247;779
248;894
249;1007
250;779
251;897
252;783
253;779
254;928
