count;dtBaro
1;449
2;449
3;449
4;449
5;463
6;463
7;463
8;463
9;429
10;429
11;429
12;429
13;429
14;458
15;458
16;458
17;458
18;427
19;427
20;427
21;427
22;424
23;424
24;424
25;424
26;395
27;395
28;395
29;395
30;395
31;428
32;428
33;428
34;428
35;434
36;434
37;434
38;434
39;442
40;442
41;442
42;442
43;487
44;487
45;487
46;487
47;487
48;425
49;425
50;425
51;425
52;434
53;434
54;434
55;434
56;400
57;400
58;400
59;400
60;444
61;444
62;444
63;444
64;444
65;425
66;425
67;425
68;425
69;437
70;437
71;437
72;437
73;431
74;431
75;431
76;431
77;420
78;420
79;420
80;420
81;420
82;428
83;428
84;428
85;428
86;438
87;438
88;438
89;438
90;439
91;439
92;439
93;439
94;539
95;539
96;539
97;539
98;539
99;443
100;443
101;443
102;443
103;440
104;440
105;440
106;440
107;464
108;464
109;464
110;464
111;466
112;466
113;466
114;466
115;466
116;419
117;419
118;419
119;419
120;412
121;412
122;412
123;412
124;428
125;428
126;428
127;428
128;394
129;394
130;394
131;394
132;394
133;387
134;387
135;387
136;387
137;427
138;427
139;427
140;427
141;434
142;434
143;434
144;434
145;433
146;433
147;433
148;433
149;433
150;439
151;439
152;439
153;439
154;430
155;430
156;430
157;430
158;416
159;416
160;416
161;416
162;400
163;400
164;400
165;400
166;400
167;436
168;436
169;436
170;436
171;396
172;396
173;396
174;396
175;452
176;452
177;452
178;452
179;973
180;973
181;973
182;973
183;973
184;422
185;422
186;422
187;422
188;392
189;392
190;392
191;392
192;460
193;460
194;460
195;460
196;406
197;406
198;406
199;406
200;406
201;474
202;474
203;474
204;474
205;420
206;420
207;420
208;420
209;465
210;465
211;465
212;465
213;463
214;463
215;463
216;463
217;463
218;439
219;439
220;439
221;439
222;434
223;434
224;434
225;434
226;447
227;447
228;447
229;447
230;406
231;406
232;406
233;406
234;406
235;563
236;563
237;563
238;563
239;524
240;524
241;524
242;524
243;422
244;422
245;422
246;422
247;480
248;480
249;480
250;480
251;480
252;467
253;467
254;467
255;467
256;449
257;449
258;449
259;449
260;418
261;418
262;418
263;418
264;473
265;473
266;473
267;473
268;473
269;475
270;475
271;475
272;475
273;455
274;455
275;455
276;455
277;422
278;422
279;422
280;422
281;429
282;429
283;429
284;429
285;429
286;444
287;444
288;444
289;444
290;500
291;500
292;500
293;500
294;436
295;436
296;436
297;436
298;464
299;464
300;464
301;464
302;464
303;459
304;459
305;459
306;459
307;444
308;444
309;444
310;444
311;398
312;398
313;398
314;398
315;445
316;445
317;445
318;445
319;445
320;473
321;473
322;473
323;473
324;453
325;453
326;453
327;453
328;494
329;494
330;494
331;494
332;441
333;441
334;441
335;441
336;441
337;403
338;403
339;403
340;403
341;423
342;423
343;423
344;423
345;434
346;434
347;434
348;434
349;493
350;493
351;493
352;493
