count;dtLSM
1;853
2;879
3;847
4;795
5;887
6;830
7;956
8;1082
9;829
10;829
11;1216
12;1119
13;825
14;797
15;923
16;829
17;994
18;956
19;1163
20;1000
21;813
22;1125
23;1140
24;828
25;820
26;956
27;1155
28;820
29;831
30;1136
31;1150
32;828
33;827
34;954
35;1112
36;829
37;822
38;958
39;806
40;793
41;1094
42;829
43;987
44;1171
45;1114
46;823
47;980
48;983
49;893
50;821
51;996
52;988
53;878
54;988
55;800
56;1009
57;824
58;923
59;809
60;1014
61;831
62;974
63;795
64;963
65;794
66;959
67;815
68;991
69;835
70;827
71;858
72;833
73;875
74;826
75;851
76;978
77;914
78;984
79;829
80;790
81;848
82;896
83;822
84;845
85;945
86;820
87;921
88;795
89;810
90;794
91;821
92;1022
93;837
94;810
95;820
96;1098
97;934
98;821
99;964
100;827
101;1079
102;827
103;938
104;834
105;886
106;827
107;973
108;821
109;963
110;784
111;818
112;780
113;822
114;872
115;822
116;1009
117;834
118;781
119;755
120;982
121;804
122;1003
123;831
124;1069
125;871
126;993
127;830
128;868
129;834
130;873
131;832
132;986
133;832
134;1046
135;790
136;989
137;820
138;994
139;797
140;794
141;856
142;784
143;940
144;792
145;958
146;784
147;921
148;832
149;974
150;785
151;926
152;832
153;986
154;775
155;1023
156;888
157;983
158;788
159;973
160;888
161;1002
162;845
163;795
164;845
165;905
166;824
167;841
168;861
169;872
170;821
171;1014
172;790
173;980
174;798
175;1057
176;834
177;984
178;820
179;869
180;790
181;858
182;808
183;875
184;822
185;1021
186;831
187;780
188;814
189;828
190;919
191;827
192;891
193;827
194;994
195;833
196;1068
197;814
198;921
199;859
200;973
201;832
202;936
203;838
204;1011
205;832
206;1006
207;870
208;966
209;891
210;980
211;906
212;984
213;858
214;979
215;830
216;832
217;905
218;883
219;835
220;825
221;893
222;821
223;961
224;913
225;964
226;934
227;986
228;890
229;930
230;864
231;991
232;825
233;943
234;797
235;981
236;833
237;822
238;982
239;864
240;822
241;804
242;996
243;820
244;994
245;805
246;926
247;819
248;985
249;798
250;983
251;792
252;997
253;812
254;966
255;832
256;972
257;833
258;829
259;790
260;893
261;823
262;762
263;940
264;831
265;924
266;830
267;993
268;828
269;975
270;831
271;1001
272;829
273;944
274;830
275;999
276;882
277;1069
278;791
279;980
280;805
281;1008
282;791
283;996
284;804
285;930
286;821
287;830
288;829
289;883
290;835
291;845
292;935
293;829
294;960
295;874
296;881
297;972
298;817
299;798
300;762
301;1029
302;892
303;985
304;811
305;937
306;834
307;1021
308;792
309;1041
310;802
311;1009
312;825
313;1031
314;855
315;983
316;798
317;1030
318;821
319;984
320;799
321;981
322;810
323;959
324;833
325;782
326;855
327;800
328;781
329;1004
330;829
331;960
332;803
333;807
334;809
335;793
336;934
337;785
338;926
339;806
340;937
341;796
342;968
343;792
344;930
345;789
346;958
347;788
348;802
349;956
350;783
351;997
352;779
353;959
354;811
355;970
356;773
357;936
358;787
359;921
360;780
361;775
362;810
363;920
364;782
365;983
366;784
367;914
368;787
369;913
370;793
371;1017
372;786
373;1111
374;803
375;813
376;809
377;808
378;844
379;908
380;789
381;924
382;784
383;991
384;787
385;960
386;802
387;972
388;836
389;986
390;787
391;1001
392;782
393;915
394;816
395;911
396;802
397;976
398;785
399;987
400;793
401;971
402;810
403;1001
404;785
405;788
406;823
407;780
408;790
409;835
410;932
411;796
412;936
413;791
414;989
415;799
416;939
417;786
418;916
419;780
420;942
421;783
422;973
423;786
424;1015
425;787
426;1082
427;798
428;940
429;817
430;984
431;833
432;806
433;806
434;803
435;815
436;777
437;944
438;866
439;948
440;783
441;934
442;801
443;911
444;798
445;1010
446;844
447;955
448;783
449;935
450;814
451;911
452;782
453;944
454;804
455;925
456;783
457;922
458;782
459;914
460;782
461;798
462;783
463;828
464;853
465;918
466;791
467;924
468;797
469;800
470;780
471;785
472;782
473;965
474;797
475;937
476;781
477;942
478;804
479;941
480;785
481;969
482;795
483;928
484;822
485;921
486;798
487;960
488;780
489;954
490;794
491;915
492;763
493;938
494;818
495;929
496;806
497;969
498;792
499;1033
500;801
501;976
502;822
503;914
504;803
505;1098
506;791
507;984
508;791
509;961
510;796
511;784
512;817
513;830
514;797
515;980
516;812
517;1070
518;827
519;783
520;808
521;810
522;805
523;982
524;811
525;908
526;805
527;987
528;872
529;788
530;808
531;808
532;810
533;793
534;925
535;793
536;940
537;790
538;922
539;802
540;925
541;799
542;979
543;789
544;1070
545;827
546;973
547;825
548;990
549;823
550;784
551;817
552;794
553;803
554;871
555;801
556;964
557;1032
558;785
559;819
560;816
561;812
562;792
563;929
564;778
565;958
566;808
567;807
568;812
569;806
570;990
571;830
572;976
573;821
574;879
575;966
576;785
577;1011
578;788
579;806
580;987
581;857
582;970
583;849
584;804
585;802
586;868
587;1006
588;878
589;828
590;992
591;790
592;1118
593;813
594;784
595;827
596;841
597;936
598;966
599;923
600;785
601;966
602;784
603;805
604;803
605;918
606;852
607;951
608;984
609;989
610;934
611;986
612;850
613;940
614;815
615;925
616;788
617;996
618;960
619;964
620;825
621;967
622;802
623;958
624;774
625;992
626;760
627;963
628;806
629;964
630;914
631;999
632;862
633;792
634;850
635;789
636;811
637;795
638;939
639;787
640;918
641;784
642;963
643;823
644;1223
645;799
646;797
647;818
648;935
649;815
650;963
651;798
652;808
653;783
654;809
655;863
656;947
657;786
658;967
659;766
660;945
661;781
662;831
663;793
664;946
665;785
666;957
667;792
668;926
669;782
670;955
671;784
672;923
673;850
674;797
675;884
676;811
677;810
678;935
679;807
680;962
681;829
682;915
683;869
684;918
685;795
686;952
687;953
688;812
689;799
690;821
691;793
692;794
693;951
694;811
695;932
696;797
697;960
698;797
699;951
700;789
