count;dtMPU
1;0
2;475
3;467
4;492
5;601
6;466
7;495
8;609
9;486
10;505
11;531
12;523
13;463
14;539
15;693
16;464
17;470
18;516
19;518
20;472
21;465
22;534
23;529
24;463
25;464
26;519
27;636
28;463
29;505
30;514
31;528
32;462
33;471
34;470
35;511
36;463
37;470
38;463
39;601
40;464
41;669
42;463
43;518
44;522
45;520
46;464
47;467
48;578
49;474
50;462
51;464
52;565
53;464
54;523
55;647
56;583
57;547
58;777
59;508
60;675
61;462
62;624
63;502
64;597
65;505
66;557
67;465
68;568
69;468
70;529
71;597
72;466
73;693
74;513
75;706
76;530
77;701
78;519
79;582
80;528
81;613
82;529
83;668
84;461
85;610
86;461
87;614
88;502
89;650
90;540
91;560
92;534
93;698
94;462
95;657
96;462
97;599
98;466
99;618
100;537
101;703
102;468
103;624
104;531
105;841
106;502
107;587
108;501
109;686
110;509
111;655
112;549
113;560
114;462
115;669
116;530
117;701
118;523
119;561
120;546
121;545
122;566
123;508
124;520
125;692
126;541
127;581
128;595
129;597
130;526
131;530
132;567
133;479
134;586
135;686
136;526
137;590
138;549
139;617
140;519
141;597
142;473
143;665
144;460
145;639
146;474
147;613
148;462
149;626
150;604
151;601
152;532
153;562
154;472
155;602
156;494
157;570
158;474
159;523
160;673
161;521
162;745
163;528
164;614
165;529
166;674
167;537
168;612
169;536
170;668
171;491
172;683
173;539
174;605
175;574
176;531
177;1025
178;569
179;527
180;684
181;586
182;594
183;463
184;671
185;532
186;580
187;532
188;563
189;545
190;741
191;529
192;732
193;507
194;677
195;462
196;676
197;487
198;613
199;483
200;632
201;463
202;622
203;595
204;590
205;504
206;584
207;491
208;582
209;547
210;548
211;501
212;527
213;644
214;462
215;617
216;461
217;714
218;535
219;598
220;531
221;726
222;462
223;610
224;461
225;617
226;462
227;625
228;462
229;625
230;462
231;651
232;462
233;545
234;473
235;544
236;530
237;664
238;462
239;705
240;531
241;706
242;559
243;532
244;650
245;600
246;549
247;475
248;569
249;605
250;558
251;474
252;542
253;482
254;551
255;580
256;554
257;579
258;538
259;684
260;532
261;670
262;500
263;622
264;464
265;597
266;480
267;696
268;470
269;651
270;462
271;572
272;497
273;606
274;474
275;654
276;495
