count;dtBaro
1;726
2;1021
3;693
4;728
5;792
6;682
7;785
8;709
9;687
10;726
11;683
12;704
13;740
14;698
15;763
16;745
17;741
18;691
19;699
20;725
21;693
22;771
23;694
24;786
25;697
26;770
27;732
28;755
29;828
30;789
31;734
32;692
33;737
34;724
35;761
36;684
37;684
38;685
39;677
40;684
41;670
42;674
43;675
44;698
45;680
46;688
47;678
48;679
49;673
50;685
51;676
52;681
53;701
54;682
55;678
56;696
57;676
58;685
59;682
60;707
61;674
62;685
63;713
64;740
65;723
66;713
67;728
68;709
69;850
70;826
71;729
72;737
73;727
74;756
75;926
76;747
77;765
78;772
79;742
80;743
81;720
82;744
83;756
84;741
85;729
86;752
87;780
88;745
89;731
90;719
91;721
92;807
93;729
94;778
95;749
96;773
97;1484
98;749
99;753
100;748
101;720
102;756
103;710
104;721
105;760
106;726
107;766
108;728
109;734
110;710
111;734
112;740
113;728
114;714
115;720
116;739
117;723
118;724
119;720
120;755
121;729
122;723
123;716
124;768
125;717
126;716
127;715
128;713
129;722
130;720
131;720
132;717
133;744
134;716
135;716
136;712
137;714
138;722
139;722
140;719
141;736
142;711
143;727
144;718
145;713
146;717
147;711
148;751
149;711
150;749
151;735
152;712
153;730
154;712
155;738
156;742
157;802
158;744
159;717
160;713
161;710
162;710
163;715
164;734
165;731
166;708
167;709
168;709
169;710
170;726
171;712
172;764
173;726
174;764
175;743
176;717
177;714
178;727
179;718
180;709
181;712
182;705
183;706
184;725
185;707
186;706
187;744
188;752
189;700
190;708
191;717
192;729
193;724
194;705
195;704
196;732
197;705
198;711
199;836
200;768
201;729
202;735
203;719
204;720
205;724
206;699
207;746
208;744
209;739
210;717
211;719
212;744
213;721
214;719
215;713
216;718
217;746
218;732
219;752
220;701
221;740
222;711
223;718
224;720
225;721
226;744
227;734
228;745
229;736
230;783
231;837
232;721
233;753
234;722
235;710
236;735
237;727
238;720
239;729
240;728
241;717
242;732
243;729
244;718
245;764
246;721
247;736
248;722
249;721
250;715
251;714
252;719
253;738
254;724
255;723
256;741
257;741
258;736
259;719
260;783
261;731
262;756
263;720
264;755
265;772
266;738
267;754
268;712
269;760
270;756
271;725
272;747
273;803
274;729
275;717
276;731
277;733
278;736
279;724
280;748
281;734
282;714
283;751
284;712
285;786
286;712
287;783
288;725
289;728
290;759
291;749
292;764
293;749
294;745
295;753
296;914
297;782
298;759
299;717
300;740
301;769
302;729
303;737
304;837
305;735
306;729
307;740
308;720
309;743
310;796
311;720
312;817
313;800
314;778
315;724
316;750
317;734
318;716
319;741
320;714
321;715
322;718
323;734
324;751
325;715
326;715
327;730
328;743
329;729
330;733
331;744
332;726
333;736
334;738
335;712
336;740
337;714
338;750
339;748
340;727
341;748
342;754
343;713
344;721
345;711
346;714
347;727
348;752
349;714
350;719
351;763
352;759
353;703
354;720
355;710
356;748
357;715
358;809
359;727
360;723
361;709
362;727
363;707
364;728
365;705
366;730
367;734
368;707
369;723
370;780
371;797
372;746
373;743
374;741
375;738
376;738
377;724
378;745
379;741
380;724
381;717
382;711
383;711
384;732
385;776
386;714
387;725
388;712
389;796
390;722
391;748
392;776
393;718
394;711
395;708
396;715
397;732
398;711
399;705
400;715
401;702
402;711
403;730
404;709
405;704
406;702
407;767
408;709
409;725
410;755
411;723
412;753
413;726
414;764
415;729
416;727
417;707
418;729
419;741
420;746
421;708
422;718
423;755
424;734
425;715
426;708
427;726
428;751
429;750
430;722
431;778
432;727
433;757
434;702
435;732
436;722
437;734
438;717
439;722
440;753
441;730
442;720
443;741
444;739
445;753
446;716
447;724
448;814
449;731
450;736
451;740
452;718
453;843
454;721
455;793
456;741
457;735
458;731
459;734
460;756
461;729
462;740
463;721
464;726
465;737
466;724
467;727
468;726
469;730
470;757
471;740
472;739
473;729
474;732
475;739
476;731
477;748
478;728
479;725
480;751
481;727
482;752
483;727
484;783
485;739
486;744
487;764
488;744
489;859
490;761
491;762
492;755
493;749
494;760
495;819
496;758
497;727
498;737
499;737
500;734
501;788
502;773
503;727
504;753
505;727
506;725
507;752
508;754
509;741
510;750
511;743
512;740
513;725
514;729
515;735
516;762
517;723
518;749
519;731
520;736
521;763
522;727
523;725
524;778
525;752
526;726
527;719
528;725
529;723
530;792
531;762
532;795
533;736
534;728
535;734
536;747
537;733
538;735
539;736
540;746
541;733
542;726
543;727
544;727
545;727
546;733
547;727
548;733
549;723
550;737
551;726
552;762
553;728
554;731
555;732
556;728
557;725
558;789
559;735
560;761
561;723
562;716
563;757
564;724
565;720
566;735
567;724
568;722
569;721
570;723
571;736
572;724
573;747
574;753
575;739
576;722
577;726
578;751
579;740
580;798
581;870
582;723
583;755
584;816
585;837
586;745
587;812
588;783
589;951
590;744
591;817
592;764
593;709
594;766
595;713
596;782
597;758
598;757
599;768
600;745
601;763
602;840
603;805
604;819
605;741
606;738
607;769
608;749
609;751
610;749
611;710
612;810
613;755
614;747
615;743
616;735
617;764
618;727
619;753
620;728
621;767
622;761
623;748
624;820
625;818
626;767
627;768
628;782
629;749
630;806
631;824
632;778
633;737
634;748
635;772
636;852
637;777
638;777
639;785
640;961
641;926
642;741
643;895
644;873
645;891
646;767
647;910
648;760
649;825
650;804
651;783
652;855
653;796
654;774
655;726
656;814
657;821
658;837
659;1054
660;748
661;723
662;723
663;718
664;722
665;719
666;727
667;762
668;743
669;831
670;926
671;730
672;720
673;742
674;803
675;712
676;736
677;721
678;718
679;726
680;718
681;721
682;717
683;722
684;722
685;725
686;819
687;736
688;742
689;743
690;735
691;758
692;781
693;778
694;781
695;784
696;735
697;728
698;789
699;743
700;766
701;737
702;717
703;796
704;744
705;761
706;739
707;750
708;781
709;714
710;791
711;778
712;720
713;846
714;710
715;746
716;749
717;715
718;751
719;715
720;743
721;778
722;751
723;788
724;839
725;773
726;748
727;813
728;705
729;747
730;715
731;744
732;806
733;751
734;765
735;830
736;773
737;872
738;761
739;855
740;735
741;809
742;765
743;765
744;768
745;835
746;768
747;1038
748;790
749;819
750;821
751;784
752;912
753;761
754;790
755;795
756;805
757;787
758;738
759;742
760;806
761;751
762;773
763;759
764;721
765;891
766;983
767;723
768;802
769;749
770;830
771;796
772;794
773;860
774;785
775;822
776;800
777;746
778;799
779;802
780;770
781;878
782;776
783;808
784;736
785;853
786;761
787;799
788;829
789;771
790;798
791;736
792;746
793;809
794;767
795;814
796;789
797;765
798;878
799;814
800;761
801;790
802;783
803;760
804;843
805;749
806;848
807;750
808;787
809;819
810;814
811;769
812;739
813;807
814;812
815;774
816;836
817;732
818;793
819;837
820;750
821;956
822;761
823;792
824;866
825;764
826;850
827;730
828;756
829;863
830;732
831;793
832;776
833;789
834;832
835;740
836;766
837;803
838;725
839;784
840;755
841;910
842;860
843;796
844;824
845;1516
846;1064
847;816
848;848
849;915
850;893
851;826
852;765
853;802
854;776
855;730
856;733
857;739
858;737
859;735
860;725
861;755
862;693
863;745
864;748
865;738
866;739
867;809
868;754
869;739
870;741
871;752
872;734
873;749
874;744
875;757
876;762
877;748
878;739
879;744
880;758
881;732
882;735
883;731
884;765
885;765
886;749
887;724
888;757
889;774
890;728
891;736
892;765
893;753
894;736
895;736
896;709
897;713
898;759
899;734
900;715
901;733
902;770
903;747
904;724
905;756
906;753
907;751
908;728
909;731
910;771
911;759
912;759
913;733
914;729
915;726
916;678
917;736
918;739
919;740
920;755
921;746
922;747
923;744
924;721
925;721
926;719
927;744
928;763
929;728
930;771
931;716
932;737
933;767
934;748
935;763
936;754
937;732
938;688
939;793
940;772
941;729
942;798
943;730
944;764
945;777
946;768
947;775
948;729
949;751
950;792
951;775
952;793
953;781
954;750
955;741
956;774
957;751
958;769
959;754
960;732
961;761
962;736
963;840
964;766
965;736
966;719
967;711
968;739
969;771
970;713
971;739
972;730
973;711
974;714
975;726
976;745
977;738
978;734
979;749
980;729
981;737
982;730
983;746
984;730
985;745
986;751
987;773
988;765
989;796
990;752
991;795
992;753
993;751
994;733
995;751
996;761
997;767
998;734
999;725
1000;716
1001;739
1002;720
1003;717
1004;713
1005;737
1006;739
1007;734
1008;735
1009;742
1010;717
1011;785
1012;778
1013;724
1014;746
1015;727
1016;803
1017;745
1018;761
1019;775
1020;757
1021;764
1022;768
1023;759
1024;732
1025;736
1026;754
1027;742
1028;722
1029;750
1030;711
1031;739
1032;708
1033;712
1034;707
1035;713
1036;713
1037;753
1038;779
1039;787
1040;733
1041;760
1042;814
1043;723
1044;730
1045;748
1046;780
1047;719
1048;763
1049;766
1050;767
1051;721
1052;750
1053;760
1054;735
1055;782
1056;750
1057;726
1058;737
1059;757
1060;710
1061;756
1062;742
1063;743
1064;732
1065;747
1066;714
1067;724
1068;736
1069;733
1070;728
1071;732
1072;744
1073;716
1074;730
1075;716
1076;717
1077;779
1078;698
1079;730
1080;708
1081;724
1082;730
1083;718
1084;725
1085;729
1086;694
1087;719
1088;747
1089;727
1090;710
1091;745
1092;697
1093;714
1094;782
1095;710
1096;718
1097;727
1098;720
1099;730
1100;717
1101;721
1102;725
1103;721
1104;726
1105;711
1106;766
1107;710
1108;738
1109;687
1110;712
1111;732
1112;734
1113;731
1114;731
1115;731
1116;723
1117;727
1118;719
1119;746
1120;663
1121;714
1122;729
1123;749
1124;715
1125;731
1126;684
1127;729
1128;706
1129;729
1130;709
1131;742
1132;720
1133;703
1134;810
1135;1090
1136;752
1137;746
1138;751
1139;743
1140;800
1141;751
1142;804
1143;788
1144;788
1145;756
1146;749
1147;814
1148;732
1149;793
1150;833
1151;773
1152;790
1153;790
1154;734
1155;837
1156;778
1157;783
1158;831
1159;792
1160;781
1161;771
1162;739
1163;770
1164;818
1165;831
1166;762
1167;946
1168;733
1169;744
1170;790
1171;751
1172;756
1173;808
1174;773
1175;740
1176;843
1177;746
1178;751
1179;791
1180;851
1181;768
1182;737
1183;747
1184;803
1185;781
1186;770
1187;757
1188;760
1189;735
1190;763
1191;796
1192;729
1193;731
1194;798
1195;777
1196;736
1197;918
1198;789
1199;781
1200;730
1201;744
1202;853
1203;757
1204;732
1205;803
1206;728
1207;781
1208;771
1209;776
1210;920
1211;758
1212;798
1213;740
1214;792
1215;739
1216;780
1217;738
1218;729
1219;760
1220;772
1221;742
1222;772
1223;789
1224;753
1225;760
1226;782
1227;727
1228;756
1229;813
1230;735
1231;1182
1232;742
1233;754
1234;813
1235;761
1236;808
1237;790
1238;748
1239;861
1240;726
1241;754
1242;745
1243;773
1244;844
1245;735
1246;731
1247;733
1248;776
1249;848
1250;913
1251;956
1252;780
1253;769
1254;778
1255;777
1256;830
1257;814
1258;731
1259;827
1260;780
1261;731
1262;757
1263;823
1264;774
1265;804
1266;787
1267;753
1268;809
1269;825
1270;733
1271;826
1272;748
1273;731
1274;754
1275;733
1276;735
1277;786
1278;756
1279;768
1280;776
1281;849
1282;750
1283;750
1284;834
1285;742
1286;900
1287;722
1288;798
1289;1037
1290;852
1291;744
1292;805
1293;841
1294;750
1295;730
1296;755
1297;797
1298;774
1299;746
1300;760
1301;812
1302;790
1303;883
1304;727
1305;723
1306;727
1307;719
1308;728
1309;739
1310;728
1311;758
1312;732
1313;726
1314;725
1315;718
1316;728
1317;725
1318;739
1319;717
1320;732
1321;737
1322;727
1323;706
1324;785
1325;733
1326;740
1327;729
1328;819
1329;715
1330;722
1331;715
1332;722
1333;725
1334;720
1335;725
1336;727
1337;742
1338;721
1339;805
1340;727
1341;731
1342;729
1343;726
1344;734
1345;739
1346;732
1347;726
1348;728
1349;726
1350;734
1351;727
1352;741
1353;721
1354;734
1355;720
1356;703
1357;745
1358;720
1359;771
1360;708
1361;755
1362;713
1363;739
1364;687
1365;732
1366;720
1367;838
1368;805
1369;755
1370;717
1371;715
1372;723
1373;741
1374;735
1375;749
1376;738
1377;762
1378;722
1379;725
1380;735
1381;748
1382;747
1383;734
1384;766
1385;725
1386;727
1387;728
1388;750
1389;856
1390;726
1391;731
1392;732
1393;761
1394;747
1395;724
1396;819
1397;771
1398;773
1399;746
1400;730
1401;767
1402;737
1403;745
1404;725
1405;655
1406;850
1407;737
1408;730
1409;712
1410;742
1411;796
1412;725
1413;714
1414;739
1415;722
1416;717
1417;733
1418;734
1419;696
1420;733
1421;726
1422;675
1423;744
1424;794
1425;841
1426;723
1427;749
1428;703
1429;739
1430;717
1431;721
1432;719
1433;733
1434;723
1435;718
1436;741
1437;770
1438;731
1439;742
1440;731
1441;725
1442;893
1443;744
1444;740
1445;711
1446;741
1447;827
1448;755
1449;754
1450;758
1451;756
1452;699
1453;772
1454;723
1455;724
1456;731
1457;723
1458;715
1459;727
1460;713
1461;722
1462;748
1463;717
1464;906
1465;764
1466;760
1467;732
1468;738
1469;753
1470;735
1471;728
1472;729
1473;732
1474;731
1475;731
1476;726
1477;725
1478;725
1479;731
1480;952
1481;744
1482;737
1483;725
1484;736
1485;708
1486;749
1487;719
1488;717
1489;707
1490;725
1491;715
1492;716
1493;786
1494;719
1495;704
1496;718
1497;787
1498;723
1499;737
1500;723
1501;715
1502;717
1503;714
1504;716
1505;715
1506;720
1507;713
1508;713
1509;715
1510;712
1511;705
1512;712
1513;710
1514;711
1515;759
1516;717
1517;734
1518;713
1519;713
1520;734
1521;712
1522;726
1523;747
1524;734
1525;738
1526;736
1527;727
1528;736
1529;750
1530;764
1531;741
1532;737
1533;740
1534;740
1535;738
1536;732
1537;743
1538;735
1539;733
1540;734
1541;731
1542;756
1543;743
1544;736
1545;731
1546;740
1547;729
1548;735
1549;732
1550;731
1551;728
1552;735
1553;730
1554;731
1555;731
1556;732
1557;735
1558;771
1559;760
1560;732
1561;728
1562;717
1563;726
1564;756
1565;719
1566;728
1567;712
1568;691
1569;720
1570;718
1571;735
1572;712
1573;785
1574;725
1575;721
1576;778
1577;721
1578;721
1579;716
1580;716
1581;716
1582;720
1583;720
1584;721
1585;720
1586;727
1587;720
1588;819
1589;750
1590;727
1591;744
1592;725
1593;734
1594;722
1595;723
1596;732
1597;741
1598;763
1599;735
1600;734
1601;726
1602;730
1603;742
1604;734
1605;746
1606;740
1607;733
1608;732
1609;736
1610;733
1611;748
1612;746
1613;773
1614;757
1615;748
1616;730
1617;742
1618;738
1619;756
1620;750
1621;743
1622;750
1623;743
1624;740
1625;749
1626;736
1627;753
1628;745
1629;744
1630;812
1631;755
1632;734
1633;729
1634;732
1635;798
1636;732
1637;735
1638;739
1639;749
1640;728
1641;743
1642;733
1643;737
1644;732
1645;756
1646;753
1647;774
1648;721
1649;721
1650;748
1651;775
1652;878
1653;718
1654;733
1655;865
1656;760
1657;827
1658;743
1659;734
1660;725
1661;751
1662;798
1663;735
1664;749
1665;724
1666;736
1667;730
1668;726
1669;733
1670;731
1671;744
1672;736
1673;772
1674;745
1675;743
1676;738
1677;736
1678;728
1679;784
1680;733
1681;734
1682;741
1683;744
1684;740
1685;739
1686;729
1687;737
1688;736
1689;733
1690;732
1691;728
1692;734
1693;732
1694;730
1695;738
1696;731
1697;737
1698;734
1699;734
1700;1195
1701;779
1702;742
1703;741
1704;736
1705;743
1706;782
1707;738
1708;742
1709;747
1710;730
1711;772
1712;706
1713;734
1714;730
1715;750
1716;734
1717;773
1718;729
1719;742
1720;719
1721;747
1722;735
1723;774
1724;692
1725;726
1726;746
1727;730
1728;729
1729;745
1730;748
1731;727
1732;736
1733;740
1734;736
1735;738
1736;763
1737;741
1738;735
1739;753
1740;740
1741;739
1742;740
1743;756
1744;730
1745;798
1746;662
1747;734
1748;761
1749;770
1750;721
1751;759
1752;708
1753;756
1754;741
1755;738
1756;747
1757;728
1758;731
1759;761
1760;758
1761;729
1762;773
1763;792
1764;784
1765;737
1766;731
1767;749
1768;740
1769;733
1770;731
1771;738
1772;736
1773;729
1774;731
1775;732
1776;726
1777;728
1778;736
1779;728
1780;731
1781;731
1782;731
1783;733
1784;735
1785;728
1786;735
1787;729
1788;729
1789;725
1790;736
1791;728
