count;dtLED
1;2
2;3
3;3
4;2
5;2
6;1
7;2
8;2
9;2
10;2
11;2
12;3
13;3
14;2
15;2
16;2
17;3
18;3
19;3
20;3
21;4
22;2
23;2
24;3
25;3
26;3
27;3
28;3
29;3
30;7
31;3
32;3
33;3
34;2
35;4
36;3
37;3
38;2
39;2
40;3
41;2
42;3
43;3
44;3
45;2
46;3
47;2
48;3
49;3
50;2
51;3
52;3
53;3
54;2
55;3
56;3
57;3
58;2
59;4
60;3
61;3
62;2
63;3
64;2
65;2
66;3
67;3
68;4
69;2
70;3
71;3
72;2
73;2
74;2
75;2
76;2
77;2
78;2
79;3
80;2
81;2
82;2
83;2
84;2
85;2
86;3
87;3
88;2
89;2
90;3
91;2
92;2
93;3
94;3
95;3
96;2
97;3
98;2
99;3
100;3
101;2
102;4
103;2
104;2
105;2
106;2
107;2
108;3
109;3
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;3
118;2
119;2
120;2
121;2
122;3
123;3
124;3
125;2
126;3
127;2
128;3
129;2
130;3
131;3
132;2
133;2
134;36
135;3
136;3
137;3
138;3
139;2
140;2
141;3
142;2
143;2
144;2
145;2
146;3
147;3
148;2
149;3
150;3
151;2
152;2
153;4
154;2
155;2
156;2
157;2
158;2
159;3
160;2
161;5
162;3
163;2
164;2
165;2
166;2
167;3
168;2
169;2
170;2
171;2
172;3
173;2
174;2
175;2
176;3
177;3
178;3
179;3
180;2
181;3
182;4
183;2
184;3
185;2
186;3
187;2
188;2
189;3
190;3
191;3
192;3
193;3
194;3
195;2
196;2
197;3
198;2
199;3
200;2
201;2
202;3
203;3
204;3
205;3
206;3
207;3
208;2
209;2
210;2
211;4
212;2
213;4
214;1
215;2
216;2
217;2
218;3
219;2
220;2
221;4
222;2
223;2
224;3
225;2
226;2
227;2
228;2
229;3
230;2
231;2
232;3
233;3
234;3
235;3
236;2
237;2
238;3
239;3
240;3
241;2
242;3
243;3
244;2
245;2
246;2
247;2
248;2
249;3
250;2
251;2
252;2
253;2
254;2
255;2
256;2
257;2
258;3
259;2
260;2
261;2
262;3
263;2
264;2
265;3
266;2
267;2
268;3
269;2
270;2
271;3
272;3
273;3
274;2
275;2
276;2
277;2
278;3
279;3
280;2
281;2
282;2
283;2
284;3
285;2
286;3
287;2
288;3
289;2
290;2
291;2
292;2
293;2
294;2
295;2
296;2
297;2
298;2
299;2
300;3
301;2
302;2
303;3
304;2
305;3
306;2
307;3
308;2
309;2
310;2
311;3
312;2
313;3
314;2
315;3
316;3
317;3
318;3
319;2
320;3
321;2
322;2
323;2
324;3
325;3
326;2
327;2
328;2
329;2
330;2
331;2
332;2
333;3
334;2
335;2
336;2
337;3
338;2
339;3
340;2
341;3
342;2
343;3
344;2
345;2
346;2
347;3
348;2
349;3
350;3
351;2
352;3
353;2
354;2
355;2
356;2
357;3
358;3
359;2
360;3
361;2
362;2
363;3
364;2
365;2
366;2
367;3
368;2
369;2
370;2
371;2
372;3
373;2
374;2
375;2
376;2
377;2
378;3
379;2
380;3
381;5
382;2
383;3
384;4
385;2
386;2
387;2
388;2
389;2
390;2
391;2
392;3
393;3
394;3
395;3
396;3
397;3
398;2
399;3
400;2
401;3
402;2
403;2
404;3
405;4
406;2
407;2
408;3
409;2
410;3
411;3
412;2
413;2
414;2
415;3
416;2
417;4
418;2
419;2
420;2
421;3
422;2
423;2
424;3
425;3
426;2
427;3
428;4
429;3
430;2
431;2
432;2
433;2
434;2
435;2
436;2
437;4
438;2
439;2
440;2
441;2
442;2
443;2
444;2
445;2
446;2
447;2
448;2
449;2
450;2
451;2
452;2
453;3
454;2
455;3
456;3
457;2
458;2
459;4
460;2
461;2
462;2
463;2
464;3
465;2
466;2
467;3
468;2
469;2
470;3
471;2
472;2
473;2
474;2
475;2
476;2
477;2
478;2
479;3
480;1
481;3
482;3
483;2
484;2
485;2
486;3
487;2
488;2
489;3
490;2
491;2
492;2
493;3
494;2
495;2
496;2
497;3
498;2
499;2
500;1
501;2
502;2
503;4
504;3
505;3
506;2
507;4
508;2
509;3
510;2
511;2
512;2
513;2
514;2
515;2
516;2
517;2
518;2
519;2
520;2
521;2
522;2
523;2
524;2
525;3
526;2
527;2
528;2
529;2
530;3
531;2
532;2
533;2
534;3
535;2
536;3
537;3
538;3
539;2
540;3
541;2
542;3
543;2
544;2
545;2
546;2
547;2
548;3
549;2
550;2
551;2
552;2
553;2
554;2
555;2
556;2
557;3
558;3
559;2
560;2
561;2
562;3
563;2
564;2
565;3
566;2
567;2
568;2
569;2
570;2
571;2
572;2
573;2
574;1
575;2
576;2
577;3
578;2
579;2
580;2
581;3
582;2
583;2
584;3
585;2
586;2
587;3
588;2
589;2
590;2
591;2
592;2
593;3
594;2
595;2
596;2
597;2
598;2
599;2
600;2
601;2
602;2
603;3
604;3
605;2
606;1
607;2
608;2
609;2
610;2
611;2
612;2
613;2
614;2
615;2
616;2
617;2
618;2
619;2
620;2
621;3
622;2
623;3
624;3
625;2
626;2
627;2
628;2
629;2
630;2
631;2
632;2
633;2
634;2
635;3
636;2
637;3
638;2
639;2
640;2
641;3
642;1
643;2
644;2
645;2
646;2
647;3
648;1
649;2
650;2
651;2
652;3
653;2
654;2
655;3
656;3
657;3
658;2
659;2
660;2
661;2
662;2
663;2
664;2
665;2
666;2
667;2
668;2
669;2
670;2
671;2
672;2
673;3
674;2
675;2
676;2
677;2
678;3
679;2
680;3
681;2
682;2
683;2
684;3
685;2
686;2
687;2
688;2
689;2
690;2
691;2
692;2
693;3
694;2
695;3
696;2
697;2
698;2
699;2
700;2
701;2
702;2
703;2
704;3
705;3
706;3
707;2
708;3
709;2
710;2
711;2
712;2
713;2
714;2
715;2
716;2
717;2
718;2
719;1
720;2
721;3
722;2
723;2
724;2
725;3
726;2
727;2
728;2
729;3
730;2
731;2
732;2
733;3
734;2
735;1
736;3
737;2
738;2
739;2
740;2
741;2
742;2
743;3
744;2
745;2
746;3
747;3
748;2
749;2
750;3
751;2
752;2
753;2
754;2
755;3
756;2
757;2
758;2
759;3
760;3
761;3
762;2
763;3
764;2
765;3
766;2
767;2
768;2
769;2
770;2
771;3
772;2
773;2
774;3
775;2
776;2
777;4
778;3
779;2
780;2
781;2
782;2
783;2
784;2
785;1
786;3
787;3
788;2
789;2
790;3
791;2
792;2
793;4
794;2
795;2
796;2
797;2
798;2
799;2
800;2
801;3
802;3
803;2
804;2
805;2
806;2
807;2
808;3
809;3
810;2
811;2
812;2
813;2
814;3
815;2
816;3
817;2
818;2
819;2
820;3
821;2
822;2
823;2
824;1
825;3
826;2
827;2
828;3
829;2
830;2
831;3
832;2
833;2
834;4
835;2
836;1
837;3
838;3
839;3
840;3
841;2
842;2
843;2
844;2
845;2
846;3
847;3
848;2
849;2
850;3
851;2
852;3
853;2
854;2
855;2
856;2
857;3
858;2
859;2
860;2
861;2
862;3
863;2
864;2
865;3
866;2
867;2
868;2
869;3
870;2
871;2
872;3
873;2
874;2
875;2
876;3
877;4
878;2
879;3
880;2
881;2
882;3
883;2
884;2
885;2
886;2
887;3
888;2
889;2
890;2
891;2
892;3
893;2
894;2
895;2
896;2
897;2
898;2
899;4
900;3
901;3
902;3
903;3
904;3
905;2
906;3
907;3
908;3
909;2
910;2
911;3
912;3
913;3
914;3
915;2
916;3
917;4
918;2
919;3
920;3
921;3
922;3
923;2
924;2
925;2
926;2
927;2
928;2
929;2
930;2
931;9
932;2
933;4
934;3
935;3
936;2
937;3
938;3
939;2
940;2
941;2
942;5
943;2
944;3
945;3
946;3
947;3
