count;dtLSM
1;1284
2;1176
3;1175
4;1160
5;1149
6;1147
7;1147
8;1152
9;1147
10;1148
11;1149
12;1149
13;1146
14;1147
15;1146
16;1147
17;1147
18;1150
19;1151
20;1147
21;1148
22;1141
23;1150
24;1147
25;1148
26;1150
27;1096
28;1085
29;1090
30;1085
31;1085
32;1084
33;1090
34;1089
35;1143
36;1085
37;1088
38;1084
39;1085
40;1084
41;1089
42;1085
43;1116
44;1086
45;1083
46;1084
47;1095
48;1087
49;1076
50;1083
51;1155
52;1147
53;1126
54;1085
55;1144
56;1096
57;1082
58;1082
59;1190
60;1150
61;1090
62;1146
63;1079
64;1153
65;1081
66;1148
67;1170
68;1059
69;1127
70;1089
71;1127
72;1090
73;1081
74;1115
75;1160
76;1122
77;1175
78;1122
79;1108
80;1076
81;1114
82;1065
83;1121
84;1070
85;1123
86;1116
87;1125
88;1114
89;1061
90;1118
91;1075
92;1061
93;1115
94;1068
95;1115
96;1085
97;1112
98;1152
99;1132
100;1061
101;1126
102;1112
103;1127
104;1116
105;1059
106;1106
107;1062
108;1127
109;1180
110;1152
111;1086
112;1080
113;1077
114;1083
115;1080
116;1082
117;1083
118;1083
119;1085
120;1089
121;1082
122;1081
123;1142
124;1093
125;1082
126;1079
127;1082
128;1094
129;1081
130;1081
131;1086
132;1082
133;1085
134;1085
135;1080
136;1079
137;1082
138;1084
139;1105
140;1080
141;1084
142;1079
143;1085
144;1078
145;1091
146;1079
147;1141
148;1082
149;1083
150;1080
151;1078
152;1083
153;1086
154;1083
155;1110
156;1080
157;1079
158;1078
159;1082
160;1082
161;1083
162;1084
163;1133
164;1080
165;1080
166;1080
167;1077
168;1079
169;1085
170;1080
171;1123
172;1083
173;1082
174;1078
175;1083
176;1082
177;1078
178;1081
179;1078
180;1085
181;1080
182;1082
183;1084
184;1083
185;1079
186;1086
187;1078
188;1084
189;1085
190;1083
191;1085
192;1082
193;1083
194;1079
195;1080
196;1081
197;1079
198;1078
199;1082
200;1085
201;1081
202;1081
203;1074
204;1081
205;1081
206;1081
207;1080
208;1131
209;1084
210;1083
211;1084
212;1077
213;1084
214;1083
215;1082
216;1109
217;1080
218;1078
219;1084
220;1086
221;1079
222;1082
223;1083
224;1126
225;1085
226;1081
227;1084
228;1083
229;1084
230;1083
231;1084
232;1098
233;1083
234;1079
235;1081
236;1079
237;1081
238;1084
239;1081
240;1080
241;1083
242;1083
243;1082
244;1084
245;1083
246;1082
247;1082
248;1081
249;1089
250;1080
251;1082
252;1080
253;1082
254;1082
255;1080
256;1086
257;1076
258;1082
259;1078
260;1108
261;1091
262;1084
263;1087
264;1087
265;1081
266;1090
267;1120
268;1092
269;1362
270;1349
271;1080
272;1152
273;1090
274;1081
275;1085
276;1084
277;1087
278;1079
279;1092
280;1095
281;1084
282;1088
283;1091
284;1146
285;1400
286;1444
287;1080
288;1094
289;1081
290;1077
291;1082
292;1091
293;1086
294;1077
295;1087
296;1089
297;1092
298;1094
299;1078
300;1088
301;1125
302;1099
303;1516
304;1287
305;1144
306;1079
307;1158
308;1153
309;1092
310;1087
311;1087
312;1094
313;1085
314;1282
315;1095
