count;dtMPU
1;756
2;740
3;724
4;720
5;722
6;721
7;725
8;732
9;859
10;1025
11;870
12;773
13;727
14;724
15;725
16;723
17;721
18;723
19;720
20;723
21;723
22;722
23;721
24;719
25;722
26;867
27;1083
28;898
29;829
30;761
31;775
32;740
33;739
34;746
35;728
36;718
37;723
38;855
39;726
40;823
41;719
42;720
43;744
44;793
45;855
46;980
47;729
48;718
49;724
50;722
51;726
52;881
53;726
54;721
55;1133
56;727
57;734
58;733
59;764
60;723
61;863
62;1042
63;1153
64;1038
65;1036
66;862
67;786
68;728
69;734
70;1141
71;731
72;789
73;732
74;733
75;733
76;730
77;726
78;728
79;1038
80;734
81;760
82;730
83;725
84;1015
85;870
86;782
87;751
88;727
89;741
90;727
91;735
92;815
93;718
94;749
95;721
96;724
97;717
98;717
99;870
100;735
101;774
102;738
103;723
104;723
105;727
106;726
107;721
108;752
109;734
110;729
111;722
112;721
113;719
114;778
115;738
116;731
117;772
118;734
119;720
120;729
121;725
122;721
123;724
124;725
125;732
126;729
127;732
128;734
129;771
130;728
131;734
132;729
133;823
134;747
135;731
136;727
137;724
138;733
139;720
140;724
141;724
142;728
143;725
144;735
145;732
146;736
147;873
148;1011
149;789
150;821
151;740
152;804
153;726
154;825
155;724
156;728
157;829
158;863
159;734
160;739
161;729
162;742
163;931
164;1041
165;1066
166;1053
167;878
168;889
169;762
170;732
171;841
172;731
173;736
174;766
175;722
176;753
177;891
178;906
179;768
180;723
181;829
182;799
183;859
184;759
185;727
186;767
187;914
188;1020
189;1237
190;1028
191;1037
192;909
193;886
194;957
195;787
196;803
197;728
198;785
199;828
200;834
201;817
202;824
203;797
204;796
205;724
206;1249
207;732
208;805
209;757
210;739
211;811
212;965
213;878
214;879
215;1062
216;873
217;1183
218;815
219;761
220;792
221;729
222;743
223;826
224;769
225;760
226;736
227;762
228;728
229;728
230;1064
231;891
232;745
233;799
234;738
235;905
236;1272
237;827
238;786
239;907
240;1045
241;1210
242;1015
243;733
244;798
245;761
246;743
247;942
248;743
249;757
250;727
251;791
252;749
253;966
254;788
255;738
256;783
257;787
258;732
259;728
260;1228
261;802
262;926
263;970
264;1035
265;1016
266;793
267;749
268;734
269;743
270;797
271;946
272;749
273;727
274;754
275;760
276;746
277;781
278;895
279;758
280;731
281;787
282;783
283;730
284;1402
285;758
286;871
287;911
288;823
289;730
290;821
291;764
292;757
293;772
294;750
295;764
296;764
297;765
298;758
299;730
300;792
301;721
302;727
303;803
304;869
305;1054
306;1052
307;890
308;871
309;845
310;782
311;722
312;726
313;742
314;773
315;732
316;787
317;735
318;796
319;756
320;868
321;724
322;727
323;766
324;931
325;1054
326;800
327;782
328;726
329;731
330;747
331;749
332;866
333;776
334;729
335;722
336;742
337;720
338;800
339;853
340;720
341;888
342;1026
343;900
344;770
345;735
346;750
347;728
348;816
349;780
350;731
351;795
352;773
353;726
354;773
355;726
356;765
357;779
358;950
359;977
360;1059
361;909
362;785
363;862
364;785
365;743
366;717
367;830
368;735
369;746
370;730
371;743
372;734
373;724
374;787
375;728
376;725
377;949
378;1040
379;1124
380;885
381;835
382;758
383;730
384;765
385;761
386;720
387;790
388;722
389;751
390;736
391;781
392;790
393;724
394;777
395;862
396;1040
397;1286
398;1126
399;1037
400;885
401;829
402;895
403;754
404;742
405;726
406;745
407;728
408;862
409;769
410;723
411;765
412;756
413;721
414;878
415;845
416;998
417;1018
418;895
419;963
420;734
421;766
422;766
423;731
424;803
425;770
426;831
427;727
428;738
429;725
430;810
431;725
432;797
433;731
434;876
435;1043
436;887
437;894
438;756
439;721
440;747
441;727
442;811
443;743
444;729
445;748
446;763
447;734
448;774
449;724
450;792
451;776
452;1019
453;1026
454;894
455;921
456;727
457;740
458;747
459;732
460;824
461;732
462;776
463;742
464;727
465;764
466;732
467;757
468;769
469;777
470;974
471;1011
472;875
473;867
474;729
475;1203
476;750
477;724
478;766
479;873
480;753
481;762
482;727
483;749
484;724
485;802
486;738
487;721
488;783
489;772
490;934
491;1069
492;743
493;725
494;730
495;729
496;819
497;730
498;729
499;729
500;726
501;724
502;725
503;911
504;724
505;837
506;724
507;814
508;730
509;730
510;725
511;729
512;727
513;723
514;723
515;723
516;729
517;720
518;723
519;738
520;724
521;736
522;944
523;727
524;732
525;731
526;726
527;725
528;866
529;727
530;726
531;726
532;725
533;724
534;799
535;734
536;728
537;726
538;724
539;724
540;720
541;942
542;728
543;729
544;722
545;722
546;723
547;885
548;752
549;734
550;730
551;728
552;726
553;725
554;935
555;723
556;728
557;727
558;723
559;718
560;762
561;739
562;734
563;738
564;730
565;730
566;723
567;946
568;741
569;740
570;796
571;753
572;772
573;987
574;735
575;751
576;726
577;775
578;793
579;778
580;730
581;730
582;726
583;728
584;723
585;728
586;909
587;734
588;727
589;728
590;759
591;729
592;732
593;826
594;734
595;733
596;731
597;728
598;724
599;726
600;886
601;793
602;909
603;831
604;733
605;731
606;726
607;736
608;729
609;728
610;728
611;727
612;723
613;978
614;731
615;735
616;928
617;943
618;828
619;952
620;730
621;731
622;731
623;731
624;731
625;728
626;932
627;740
628;730
629;728
630;820
631;898
632;993
633;734
634;733
635;729
636;733
637;732
638;728
639;963
640;732
641;727
642;729
643;722
644;812
645;1350
646;973
647;901
648;830
649;732
650;730
651;895
652;736
653;730
654;728
655;731
656;731
657;736
658;800
659;726
660;722
661;931
662;967
663;732
664;826
665;729
666;729
667;725
668;723
669;726
670;725
671;731
672;727
673;726
674;725
675;899
676;901
677;990
678;731
679;726
680;726
681;730
682;725
683;732
684;730
685;727
686;729
687;724
688;723
689;916
690;784
691;1064
692;964
693;826
694;879
695;725
696;731
697;728
698;726
699;734
700;728
701;925
702;731
703;727
704;730
705;919
706;896
707;944
708;732
709;727
710;730
711;728
712;726
713;920
714;729
715;726
716;721
717;722
718;727
719;888
720;1028
721;835
722;729
723;728
724;728
725;730
726;802
727;732
728;725
729;729
730;722
731;983
732;732
733;792
734;1059
735;932
736;833
737;974
738;730
739;729
740;728
741;729
742;726
743;780
744;726
745;729
746;723
747;724
748;851
749;992
750;835
751;727
752;729
753;730
754;722
755;725
756;921
757;726
758;735
759;730
760;729
761;733
762;1165
763;1128
764;947
765;734
766;726
767;868
768;749
769;732
770;729
771;724
772;730
773;786
774;916
775;726
776;726
777;860
778;1066
779;1018
780;735
781;725
782;728
783;728
784;733
785;726
786;939
787;727
788;727
789;724
790;727
791;780
792;909
793;775
794;727
795;727
796;728
797;726
798;928
799;733
800;731
801;730
802;726
803;725
804;726
805;985
806;871
807;877
808;786
809;729
810;728
811;925
812;733
813;729
814;734
815;730
816;727
817;733
818;727
819;728
820;915
821;863
822;733
823;838
824;732
825;725
826;731
827;730
828;730
829;726
830;920
831;730
832;781
833;730
834;1012
835;1034
836;898
837;732
838;731
839;730
840;729
841;723
842;921
843;728
844;726
845;725
846;728
847;727
848;864
849;1016
850;807
851;731
852;726
853;727
854;733
855;731
856;727
857;726
858;725
859;733
860;726
861;923
862;730
863;882
864;1047
865;988
866;742
867;729
868;728
869;730
870;727
871;727
872;727
873;748
874;728
875;724
876;724
877;882
878;1021
879;920
880;778
881;728
882;728
883;727
884;729
885;731
886;790
887;763
